title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Butter Chicken (Murgh Makhani),https://www.allrecipes.com/recipe/246717/indian-butter-chicken-chicken-makhani/,4,20m,40m,1h 0m,"2 teaspoons garam masala | 2 teaspoons tandoori masala powder | 2 teaspoons Madras curry powder | 1 teaspoon ground cumin | 0.5 teaspoon ground cardamom | 0.5 teaspoon ground cayenne pepper | salt and ground black pepper to taste | 1.5 pounds boneless, skinless chicken thighs, cut into bite-size pieces | 3 tablespoons butter, divided | 1 yellow onion, chopped | 4 cloves garlic, minced | 1 tablespoon lemon juice | 2 teaspoons chopped fresh ginger | 1 cup tomato puree | 1 cup half-and-half | 0.25 cup plain yogurt | 0.33333334326744 cup cashews | 1 bunch fresh cilantro, stems removed","2. Gather the ingredients. | 3. Make a spice mix by combining garam masala, tandoori masala, curry powder, cumin, cardamom, cayenne, salt, and black pepper in a small bowl; set aside. | 4. Place chicken in a large bowl and add 1/2 of the spice mixture; turn to coat evenly. | 5. Melt 1 tablespoon butter in a large skillet over medium heat. Add chicken; cook and stir until lightly browned, about 10 minutes. Remove from heat. | 6. Melt remaining 2 tablespoons butter in a large saucepan over medium heat. Add onion; cook and stir until soft and translucent, about 5 minutes. Stir in remainder of the spice mixture, garlic, lemon juice, and ginger; cook and stir until combined, about 1 minute. | 7. Stir tomato puree into onion mixture and cook, stirring frequently, about 2 minutes. Pour in half-and-half and yogurt. Reduce heat to low and simmer sauce, stirring frequently, about 10 minutes. Remove from heat. | 8. Blend cashews in a blender until finely ground. Add sauce to the blender; puree until smooth. | 9. Pour blended sauce over chicken in the skillet. Simmer until thickened, 10 to 15 minutes. Garnish with cilantro.",552kcal,38g,16g,142mg,542mg,22g,4g,7g,33g,20mg,175mg,5mg,870mg
Filipino Beef Giniling (Afritada Style),https://www.allrecipes.com/recipe/265040/filipino-beef-giniling-afritada-style/,6,20m,20m,40m,"1 tablespoon oil, or as needed | 1 clove garlic, minced | 2 pounds ground beef | 1.5 cups water, divided, or more as needed | ground black pepper to taste | 2 medium red potatoes, cubed | 10 baby carrots, or more to taste, cubed | 6 tablespoons soy sauce, divided | 0.5 cup raisins, or more to taste | 1.5 (6.5 ounce) cans tomato sauce with salt (such as Contadina®) | 0.5 medium orange bell pepper, diced | 4 tablespoons white sugar","2. Gather all ingredients. | 3. Heat oil in a large saucepan over medium heat. Add garlic and cook until fragrant, about 1 minute. | 4. Add beef and 1/2 cup water; cook and stir until browned and crumbly, 5 to 7 minutes. Season with black pepper and add more water as needed; do not let beef dry out. | 5. Add potatoes, carrots, and 3 tablespoons soy sauce; cook for 4 minutes, adding more water if mixture is too dry. Add raisins and cook for 2 to 3 minutes, again adding water as needed. | 6. Pour in one can tomato sauce. Fill the can with water and swirl to remove excess sauce; pour into the saucepan. Stir in remaining 1/2 can sauce until combined. Add more water as needed to create a saucy but not soupy consistency. | 7. Stir in bell pepper, sugar, and remaining 3 tablespoons soy sauce. Cook, stirring occasionally and adding water as needed so sauce does not dry out, until all vegetables are tender, about 3 to 5 minutes.",488kcal,26g,10g,93mg,1332mg,35g,3g,20g,29g,11mg,44mg,4mg,1009mg
Naan,https://www.allrecipes.com/recipe/14565/naan/,14,30m,20m,2h 30m,"1 (.25 ounce) package active dry yeast | 1 cup warm water | 0.25 cup white sugar | 3 tablespoons milk | 1 large egg, beaten | 2 teaspoons salt | 4.5 cups bread flour | 2 teaspoons minced garlic | 0.25 cup butter, melted","2. Dissolve yeast in warm water in a large bowl. Let stand about 10 minutes, until frothy. | 3. Meanwhile, generously oil a large bowl. | 4. Stir sugar, milk, egg, and salt into the yeast mixture. Mix in enough flour to make a soft dough. | 5. Knead dough on a lightly floured surface until smooth, 6 to 8 minutes. | 6. Place dough in the prepared oil, cover with a damp cloth, and let rise until doubled in size, about 1 hour. | 7. Punch down dough on a lightly floured surface, and knead in garlic. Pinch off small handfuls of dough about the size of a golf ball; you should have about 14. Roll each piece into a ball and place on a tray. Cover with a towel, and allow to rise until doubled in size, about 30 minutes. | 8. Meanwhile, preheat a large grill pan over high heat. | 9. Roll each piece of dough into a thin circle. | 10. Brush some melted butter on the preheated grill pan. Place a few pieces of dough in the pan (as many as you can fit) and cook until puffy and lightly browned, 2 to 3 minutes. Brush butter onto the uncooked sides, flip, and cook until browned, 2 to 4 more minutes. Remove from the grill and repeat to cook the remaining naan. | 11. Enjoy!",52kcal,4g,2g,22mg,363mg,4g,0g,4g,1g,not provided,not provided,not provided,not provided
Chicken Afritada (Filipino Stew),https://www.allrecipes.com/recipe/255401/chicken-afritada-filipino-stew/,6,40m,50m,1h 30m,"1 tablespoon vegetable oil | 3 cloves garlic, crushed and chopped | 1 onion, chopped | 1 cup seeded and chopped tomatoes | 1 (3 pound) whole chicken, cut into pieces | 3 cups water | 1 cup tomato sauce | 3 potatoes, quartered | 1 green bell pepper, seeded and cut into matchsticks | 1 carrot, chopped | salt and ground black pepper to taste","2. Heat oil in a large wok over medium heat. Add garlic; cook and stir until fragrant, about 3 minutes. Add onion; cook and stir until translucent, about 5 minutes. Stir in chopped tomatoes; cook, mashing with a fork, until flesh and skin separate, about 5 minutes. | 3. Add chicken to the wok; cook and stir until lightly browned, about 5 minutes. Pour in water; cover and bring to a boil. Stir in tomato sauce; simmer until flavors combine, about 15 minutes. | 4. Add potatoes to the wok; simmer until tender, about 10 minutes. Stir in bell pepper and carrot; simmer until softened, about 5 minutes. Season with salt and black pepper.",594kcal,45g,12g,80mg,324mg,25g,4g,5g,23g,45mg,49mg,3mg,873mg
Indian Shrimp Curry,https://www.allrecipes.com/recipe/205544/indian-shrimp-curry/,4,15m,20m,37m,"2 tablespoons peanut oil | 0.5 sweet onion, minced | 2 cloves garlic, chopped | 1.5 teaspoons ground turmeric | 1 teaspoon ground ginger | 1 teaspoon ground cumin | 1 teaspoon paprika | 0.5 teaspoon red chili powder | 1 (14.5 ounce) can chopped tomatoes | 1 (14 ounce) can coconut milk | 1 teaspoon salt | 1 pound cooked and peeled shrimp | 2 tablespoons chopped fresh cilantro","2. Gather all ingredients. | 3. Heat peanut oil in a large skillet over medium heat; cook and stir onion in hot oil until translucent, about 5 minutes. Remove the skillet from heat and allow to cool slightly, about 2 minutes. | 4. Add garlic, turmeric, ginger, cumin, paprika, and chile powder to onion in the skillet; stir over low heat to bloom spices, about 30 seconds. Stir in tomatoes, coconut milk, and salt. Bring to a boil for 1 minute, then reduce heat and simmer, stirring occasionally, for 10 minutes. | 5. Stir in shrimp and cilantro; simmer until shrimp is warmed through, about 1 minute. | 6. Serve and enjoy!",416kcal,32g,21g,146mg,930mg,11g,3g,4g,23g,14mg,119mg,9mg,617mg
Shrimp with Broccoli in Garlic Sauce,https://www.allrecipes.com/recipe/223156/shrimp-with-broccoli-in-garlic-sauce/,4,15m,15m,30m,"2 cups fresh broccoli florets | 1 tablespoon water | 2 tablespoons peanut oil | 4 large cloves garlic, minced | 1 cup low-sodium chicken broth | 1 tablespoon soy sauce | 1 tablespoon oyster sauce | 2 teaspoons grated fresh ginger root | 1 pound uncooked medium shrimp, peeled and deveined | 0.25 cup canned water chestnuts, drained | 2 tablespoons cornstarch","2. Combine broccoli and water in a glass bowl; steam in microwave oven until slightly tender, 2 to 3 minutes. | 3. Heat peanut oil in a large skillet or wok over medium-high heat. Add garlic and cook until fragrant, about 1 minute. Reduce heat to low. Add chicken broth, soy sauce, oyster sauce, and ginger root to the garlic; bring to a boil. Add shrimp; cook and stir until the shrimp turn pink, 3 to 4 minutes. | 4. Toss steamed broccoli and water chestnuts with shrimp mixture to coat with sauce. Stir cornstarch into mixture, 1 tablespoon at a time, until sauce thickens, about 5 minutes.",264kcal,9g,2g,239mg,1468mg,15g,3g,2g,30g,52mg,146mg,1mg,555mg
Champorado,https://www.allrecipes.com/recipe/212939/champorado/,6,5m,25m,30m,1 cup glutinous sweet rice | 2 cups light coconut milk | 0.5 cup cocoa powder | 1 cup white sugar | 1 teaspoon salt | 1 cup thick coconut milk,"2. Combine rice and light coconut milk in a large pot; bring to a boil for 10 minutes, while stirring occasionally to keep rice from sticking to the bottom of the pot. | 3. Stir cocoa powder, sugar, and salt into rice; reduce heat to low, cover, and continue cooking, stirring occasionally, until rice is tender, about 10 minutes more. | 4. Pour thick coconut milk into rice mixture; stir to combine. Serve hot.",428kcal,25g,22g,not provided,407mg,53g,4g,34g,5g,1mg,31mg,5mg,365mg
Pork Chops Italiano,https://www.allrecipes.com/recipe/219005/pork-chops-italiano/,6,15m,1h 10m,1h 25m,"1 teaspoon olive oil | 2 cups sliced mushrooms | 2 tablespoons olive oil | 6 (3/4 inch thick) pork loin chops | 1 cup chopped onion | 2 cloves garlic, crushed | 1 (14.5 ounce) can diced Italian tomatoes, undrained | 1 teaspoon dried basil | 0.5 teaspoon dried oregano | 0.5 teaspoon salt | 0.25 teaspoon ground black pepper | 0.5 cup water | 6 large green bell pepper slices","2. Gather all ingredients. | 3. Heat 1 teaspoon oil in a skillet over medium heat. Stir in mushrooms; cook and stir until tender, 5 to 7 minutes. Transfer to a bowl and set aside until needed. | 4. Heat 2 tablespoons oil in the skillet over medium heat. Add pork chops and cook until browned, 3 ½ to 5 minutes per side; transfer to a plate. Drain all but 1 tablespoon drippings from the skillet. | 5. Add onion and garlic to the skillet; cook and stir until onion has softened and turned translucent, about 5 minutes. Stir in tomatoes, basil, oregano, salt, and pepper. | 6. Add pork chops and simmer until tender and no longer pink in the center, about 45 minutes, adding water if mixture becomes too dry. An instant-read thermometer inserted into the center of each pork chop should read at least 145 degrees F (63 degrees C). | 7. Place a bell pepper slice on top of each pork chop. Add reserved mushrooms and continue to simmer until peppers are tender, 5 to 10 minutes. | 8. Serve and enjoy!",290kcal,18g,5g,63mg,339mg,8g,2g,4g,25g,32mg,57mg,2mg,691mg
Kate&#39;s Easy German Sauerbraten,https://www.allrecipes.com/recipe/221360/kates-easy-german-sauerbraten/,8,30m,8h 20m,56h 50m,"2 cups water | 1 cup red wine | 1 cup cider vinegar | 0.5 large onion, diced | 1 lemon, sliced | 2 tablespoons white sugar | 2 tablespoons salt | 1 clove garlic, diced | 10 whole cloves | 2 bay leaves | 1 tablespoon juniper berries, crushed | 1 teaspoon whole peppercorns | 1 (4 pound) boneless beef chuck roast | 2 cups chopped onions | 2 cups chopped carrots | 1 cup diced celery | 8 gingersnap cookies, crushed","2. Heat water, wine, vinegar, 1/2 onion, lemon, sugar, salt, garlic, cloves, bay leaves, juniper berries, and peppercorns in a saucepan over medium heat until sugar is dissolved, about 5 minutes. Allow marinade to cool, then pour into a resealable plastic bag. Add chuck roast and toss to evenly coat, squeeze out excess air, and seal bag. Marinate in the refrigerator 2 to 3 days, turning roast twice a day. | 3. Place 2 cups onions, carrots, and celery in a slow cooker. Remove roast from marinade; arrange on top of vegetables. Strain marinade; pour 2 1/2 cups over roast and reserve remaining marinade. | 4. Cover slow cooker; cook on Low for 8 hours. Turn slow cooker off; transfer roast to a cutting board and cover with aluminum foil. Strain cooking liquid into a large bowl. Return vegetables to slow cooker; set aside. | 5. Pour 3 cups cooking liquid (adding reserved marinade as needed to reach 3 cups liquid) into a saucepan; add gingersnaps. Heat over medium-high heat until gravy is thickened, about 10 minutes. | 6. Slice roast; serve with vegetables and gravy.",460kcal,27g,11g,103mg,1875mg,18g,3g,10g,28g,6mg,59mg,4mg,512mg
Perfect Sushi Rice,https://www.allrecipes.com/recipe/99211/perfect-sushi-rice/,15,5m,20m,25m,2 cups uncooked glutinous white rice (sushi rice) | 3 cups water | 0.5 cup rice vinegar | 1 tablespoon vegetable oil | 0.25 cup white sugar | 1 teaspoon salt,"2. Gather all ingredients. | 3. Rinse the rice in a strainer or colander under cold running water until the water runs clear. | 4. Combine rice and water in a saucepan over medium-high heat and bring to a boil. Reduce heat to low, cover, and cook until rice is tender and all water has been absorbed, about 20 minutes. Remove from stove and set aside until cool enough to handle. | 5. Meanwhile, combine rice vinegar, oil, sugar, and salt in a small saucepan over medium heat. Cook until the sugar has dissolved. Allow to cool. Then stir into the cooked rice. While mixture will appear very wet at first, keep stirring and rice will dry as it cools. | 6. Then stir into the cooked rice. While mixture will appear very wet at first, keep stirring and rice will dry as it cools. | 7. Enjoy!",112kcal,1g,0g,not provided,158mg,24g,1g,3g,2g,not provided,not provided,not provided,not provided
Greek Chicken,https://www.allrecipes.com/recipe/14527/greek-chicken/,8,10m,30m,2h 40m,"0.5 cup olive oil | 2 lemons, juiced | 3 cloves garlic, chopped | 1 tablespoon chopped fresh rosemary | 1 tablespoon chopped fresh thyme | 1 tablespoon chopped fresh oregano | 1 (4 pound) chicken, cut into pieces","2. Mix olive oil, lemon juice, garlic, rosemary, thyme, and oregano in a glass dish. Place chicken pieces in the mixture; cover and marinate in the refrigerator for 2 to 3 hours. | 3. Preheat an outdoor grill for high heat and lightly oil the grate. | 4. Place chicken on the grill, and discard the marinade. Cook until chicken is no longer pink at the bone and the juices run clear, about 15 minutes per side (smaller pieces will not take as long). An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).",412kcal,31g,7g,97mg,95mg,4g,1g,not provided,31g,22mg,38mg,2mg,319mg
Chicken Arroz Caldo (Chicken Rice Porridge),https://www.allrecipes.com/recipe/212940/chicken-arroz-caldo-chicken-rice-porridge/,5,20m,20m,40m,"2 tablespoons olive oil | 1 onion, diced | 2 cloves garlic, crushed | 1 (2 inch) piece fresh ginger, peeled and thinly sliced | 2.25 pounds chicken wings, split and tips discarded | 1 tablespoon fish sauce | 5.25 cups chicken broth | 1 cup glutinous sweet rice | salt and pepper to taste | 1 green onion, chopped | 1 lemon, sliced | 1 teaspoon fish sauce for sprinkling, if desired","2. Gather all ingredients. | 3. Heat oil in a large pot over medium heat. Cook and stir onion, garlic, and ginger in hot oil until fragrant, about 5 minutes. | 4. Add chicken wings; cook and stir for 1 minute. Stir in fish sauce, cover, and cook another 2 minutes. | 5. Pour chicken broth into the pot. Stir in sweet rice and bring mixture to a boil. Cover and cook for 10 minutes, stirring occasionally to prevent rice from sticking to the bottom of the pot. | 6. Season with salt and pepper. Portion soup into bowls and garnish with green onion. | 7. Serve with lemon slices and additional fish sauce, if desired.",294kcal,15g,3g,42mg,1586mg,25g,3g,4g,16g,21mg,38mg,1mg,209mg
Apfelkuchen (Apple Cake),https://www.allrecipes.com/recipe/221383/apfelkuchen-apple-cake/,12,20m,35m,1h 25m,"2.25 cups sifted all-purpose flour | 1.125 cups warm milk | 0.25 cup white sugar | 1 (.25 ounce) package active dry yeast | 6 tablespoons butter, softened | 1 tablespoon vanilla extract | 1 pinch salt | 3 large apples - peeled, cored, and sliced | 1 cup white sugar | 0.75 cup sifted all-purpose flour | 2 ounces candied lemon peel, chopped | 0.5 teaspoon ground cinnamon | 0.25 teaspoon ground nutmeg | 1 pinch salt | 0.5 cup butter","2. Gather all ingredients. Grease the bottom and sides of a 9x13-inch baking dish or a 9-inch springform pan. | 3. Beat 2 ¼ cups flour, milk, 1/4 cup sugar, yeast, 6 tablespoons butter, vanilla extract, and 1 pinch salt in a large bowl with an electric mixer on high until dough is smooth, about 5 minutes. | 4. Spread into baking dish and press dough up the sides. Press apple slices into dough. | 5. Mix 1 cup sugar, 3/4 cup flour, candied lemon peel, cinnamon, nutmeg, and 1 pinch salt in a bowl. Cut in 1/2 cup butter with a knife or pastry blender until mixture resembles coarse crumbs. | 6. Sprinkle over apples. Allow dough to rise for 30 minutes. Preheat oven to 400 degrees F (200 degrees C). | 7. Bake in preheated oven until cake is golden brown and apples are tender, about 35 minutes.",370kcal,14g,9g,37mg,136mg,57g,3g,30g,5g,3mg,47mg,2mg,160mg
Traditional Sauerbraten,https://www.allrecipes.com/recipe/221361/traditional-sauerbraten/,6,15m,4h 0m,52h 15m,"3 pounds beef rump roast | 2 large onions, chopped | 1 cup red wine vinegar, or to taste | 1 cup water | 1 tablespoon salt | 1 tablespoon ground black pepper | 1 tablespoon white sugar | 10 whole cloves, or more to taste | 2 bay leaves, or more to taste | 2 tablespoons all-purpose flour | salt and ground black pepper to taste | 2 tablespoons vegetable oil | 10 gingersnap cookies, crumbled","2. Place beef rump roast, onions, vinegar, water, 1 tablespoon salt, 1 tablespoon black pepper, sugar, cloves, and bay leaves in a large pot. Cover and refrigerate for 2 to 3 days, turning meat daily. Remove meat from marinade and pat dry with paper towels, reserving marinade. | 3. Season flour to taste with salt and black pepper in a large bowl. Sprinkle flour mixture over beef. | 4. Heat vegetable oil in a large Dutch oven or pot over medium heat; cook beef until brown on all sides, about 10 minutes. | 5. Pour reserved marinade over beef, cover, and reduce heat to medium-low. Simmer until beef is tender, 3 1/2 to 4 hours. | 6. Remove beef to a platter and slice. | 7. Strain solids from remaining liquid and continue cooking over medium heat. Add gingersnap cookies and simmer until gravy is thickened, about 10 minutes. Serve gravy over sliced beef.",456kcal,22g,7g,100mg,1683mg,21g,2g,8g,41g,not provided,not provided,not provided,not provided
Homemade Sauerkraut,https://www.allrecipes.com/recipe/238368/homemade-sauerkraut/,8,10m,20m,30m,"1 cup water | 1 cup distilled white vinegar | 0.5 onion, diced | 1 head cabbage, cored and shredded | 0.75 teaspoon sea salt | 0.5 teaspoon celery seed | 0.5 teaspoon onion powder | 0.5 teaspoon garlic powder | ground black pepper to taste","2. Combine water, 1/2 cup vinegar, and onion in a pot over high heat. Add cabbage, salt, celery seed, onion powder, garlic powder, and pepper, then pour remaining 1/2 cup vinegar over top. Cover and bring to a boil. Reduce the heat and simmer for 3 minutes. | 3. Uncover and stir cabbage. Cover again and cook, stirring occasionally, until cabbage is tender and wilted, 10 to 15 minutes more.",46kcal,0g,0g,0mg,213mg,10g,3g,5g,2g,60mg,83mg,0mg,325mg
Easy Plum Cake,https://www.allrecipes.com/recipe/283464/easy-plum-cake/,8,15m,45m,1h 0m,"0.75 cup white sugar | 0.5 cup unsalted butter, at room temperature | 2 large eggs | 1 cup all-purpose flour | 1 teaspoon baking powder | 1 pinch salt | 12 medium Italian plums, halved and pitted | 1.5 tablespoons cinnamon sugar, or to taste","2. Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 10-inch springform pan. | 3. Combine sugar and butter in a large bowl and beat with an electric mixer until light and fluffy. Add eggs, 1 at a time, and beat well after each addition. | 4. Combine flour, baking powder, and salt in a separate bowl and sift on top of the butter mixture; mix to combine. | 5. Transfer batter into the prepared springform pan and smooth out. | 6. Set plums inside batter, cut-side up, and sprinkle evenly with cinnamon-sugar. | 7. Bake in the preheated oven on the lowest rack until a toothpick inserted into the center comes out clean, 40 to 50 minutes. | 8. Serve warm or cool to room temperature.",304kcal,13g,8g,77mg,100mg,45g,2g,29g,4g,9mg,52mg,1mg,193mg
Mongo Guisado (Mung Bean Soup),https://www.allrecipes.com/recipe/213005/mongo-guisado-mung-bean-soup/,6,20m,1h 0m,1h 20m,"2 cups water | 0.5 pound raw mung beans | 2 tablespoons olive oil | 1 onion, chopped | 2 cloves garlic, minced | 0.25 pound boneless pork loin, cut into 1-inch cubes | salt and ground black pepper to taste | 0.25 pound peeled and deveined prawns | 1 small tomato, diced | 3 cups chicken broth, or more as needed | 0.5 pound fresh spinach leaves","2. Bring water and mung beans to a boil in a pot; boil until beans are soft, about 40 minutes. Mash beans; set aside. | 3. Heat olive oil in a large pot over medium heat. Add onion and garlic; cook and stir until softened, 5 to 7 minutes. Add pork; season with salt and black pepper. Cook and stir 3 minutes. Gently stir in prawns; cook 2 minutes. Add tomatoes; cook 3 minutes more. Reduce heat. Add chicken broth; simmer and stir for 5 minutes. | 4. Add mashed beans; mix well. Cook 5 minutes, stirring frequently to prevent soup from sticking to the bottom of the pot. Add more chicken broth or water if soup is too thick. Stir spinach leaves into soup; cook 2 minutes more. Serve hot.",202kcal,7g,1g,41mg,896mg,22g,8g,4g,15g,16mg,80mg,3mg,590mg
Indian Chapati Bread,https://www.allrecipes.com/recipe/85469/indian-chapati-bread/,10,15m,10m,30m,1 cup whole wheat flour | 1 cup all-purpose flour | 1 teaspoon salt | 0.75 cup hot water or as needed | 2 tablespoons olive oil,"2. Gather all ingredients. | 3. Mix whole wheat flour, all-purpose flour, and salt in a large bowl. Use a wooden spoon to stir in water and oil. Mix until a soft, elastic dough forms and add more water, if needed. | 4. Knead dough on a lightly floured surface until smooth. | 5. Divide dough into 10 equal portions, or less if you want larger chapatis. Roll each piece into a ball and let rest for a few minutes. | 6. Heat a lightly greased skillet over medium heat. Use a rolling pin to roll dough balls out on a lightly floured surface until very thin. | 7. When the skillet starts to smoke, place a chapati in it. Cook until bottom has brown spots, about 30 seconds, then flip and cook 30 seconds more. | 8. Repeat to cook remaining chapatis.",110kcal,3g,0g,not provided,234mg,18g,2g,0g,3g,not provided,7mg,1mg,62mg
Spargel in Schinken (White Asparagus Wrapped in Ham),https://www.allrecipes.com/recipe/258067/spargel-in-schinken-white-asparagus-wrapped-in-ham/,4,15m,20m,35m,"2.25 pounds white asparagus | salt to taste | 0.25 cup butter, divided | 1 pinch white sugar | 7 ounces sliced ham","2. Peel asparagus spears from top to bottom with a vegetable peeler, starting below the tips. Cut off woody ends with a knife. | 3. Place asparagus spears in a large, wide saucepan and pour in enough lightly salted water to just cover. Bring water to a boil; add 1 tablespoon butter and sugar. Reduce heat; simmer until spears are tender and easily pierced with a knife, 15 to 25 minutes. Drain well. | 4. Melt remaining 3 tablespoons butter in a small pot over low heat. | 5. Wrap each asparagus spear with a slice of ham. Arrange on a serving plate; drizzle melted butter on top.",274kcal,21g,11g,58mg,755mg,10g,5g,5g,15g,31mg,68mg,6mg,671mg
Easy Mochi,https://www.allrecipes.com/recipe/193307/easy-mochi/,8,30m,5m,1h 35m,"1 cup sweetened red bean paste | 1 cup glutinous rice flour | 1 teaspoon green tea powder (matcha) | 1 cup water | 0.25 cup white sugar | 0.5 cup cornstarch, for rolling out the dough","2. Gather all ingredients. | 3. Wrap red bean paste in aluminum foil and place in the freezer until solid, at least 1 hour. | 4. Mix glutinous rice flour and green tea powder thoroughly in a microwave-safe bowl. | 5. Stir in water, then sugar; mix until smooth. | 6. Cover the bowl with plastic wrap and microwave for 3 minutes 30 seconds. | 7. Meanwhile, remove red bean paste from the freezer and divide into 8 equal balls. Set aside. | 8. Remove rice flour mixture from the microwave. Stir and heat, covered, for another 15 to 30 seconds. | 9. Dust a work surface with cornstarch. Roll about 2 tablespoons of hot rice flour mixture into a ball. Flatten the ball and place one ball of frozen red bean paste in the center. Pinch and press the dough around the bean paste until completely covered. | 10. Sprinkle with additional cornstarch and place mochi, seam-side down, in a paper muffin liner to prevent sticking. | 11. Repeat Step 6 to make remaining mochi. | 12. Enjoy!",183kcal,0g,not provided,not provided,82mg,43g,1g,not provided,3g,not provided,not provided,not provided,not provided
Indian Chicken Curry,https://www.allrecipes.com/recipe/46822/indian-chicken-curry-ii/,4,20m,25m,45m,"3 tablespoons olive oil | 1 small onion, chopped | 2 cloves garlic, minced | 3 tablespoons curry powder | 1 teaspoon ground cinnamon | 1 teaspoon paprika | 1 bay leaf | 0.5 teaspoon grated fresh ginger root | 0.5 teaspoon white sugar | salt to taste | 2 skinless, boneless chicken breast halves - cut into bite-size pieces | 1 tablespoon tomato paste | 1 cup plain yogurt | 0.75 cup coconut milk | 0.5 lemon, juiced | 0.5 teaspoon cayenne pepper","2. Heat olive oil in a skillet over medium heat. Sauté onion until lightly browned. | 3. Stir in garlic, curry powder, cinnamon, paprika, bay leaf, ginger, sugar, and salt. Continue stirring for 2 minutes. | 4. Add chicken pieces, tomato paste, yogurt, and coconut milk. Bring to a boil, reduce heat, and simmer for 20 to 25 minutes. | 5. Remove bay leaf, and stir in lemon juice and cayenne pepper. Simmer 5 more minutes. | 6. Serve hot and enjoy!",347kcal,23g,11g,54mg,96mg,14g,4g,7g,24g,13mg,164mg,3mg,not provided
Instant Pot Filipino Chicken Adobo,https://www.allrecipes.com/recipe/277700/instant-pot-filipino-chicken-adobo/,4,5m,30m,40m,"0.5 cup distilled white vinegar | 0.25 cup soy sauce | 2 tablespoons minced garlic | 1 tablespoon olive oil | 1 tablespoon brown sugar | 1 teaspoon black peppercorns, roughly cracked | 2 bay leaves | 1 large onion, sliced | 1.5 pounds bone-in, skin-on chicken thighs | 1 tablespoon chopped scallions","2. Whisk together vinegar, soy sauce, garlic, olive oil, brown sugar, and crushed peppercorns in a medium bowl until sugar is dissolved. Stir in bay leaves. | 3. Line the bottom of a multi-functional pressure cooker (such as Instant Pot) with onion slices. Place chicken thighs over onion and pour vinegar mixture over the top. Close and lock the lid. | 4. Select high pressure according to manufacturer&#39;s instructions; set the timer for 10 minutes. Allow 10 minutes for pressure to build. | 5. Line a baking sheet with aluminum foil. | 6. Release pressure using the quick-release method according to manufacturer&#39;s instructions, about 5 minutes. Unlock and remove the lid. Using tongs, transfer chicken thighs to the prepared baking sheet, skin-side up. Select Sauté function and cook until sauce thickens, 3 to 5 minutes. | 7. Set an oven rack about 6 inches from the heat source and preheat the oven&#39;s broiler to high. | 8. Cook chicken under the preheated broiler until skin is crispy, 6 to 8 minutes. Transfer chicken to a serving plate and spoon sauce over the top. Garnish with scallions.",352kcal,21g,5g,106mg,1001mg,9g,1g,5g,30g,4mg,34mg,2mg,363mg
Sweet and Sour Pork,https://www.allrecipes.com/recipe/31144/sweet-and-sour-pork-iii/,4,30m,30m,2h 0m,"1 pound pork butt, cut into 1 inch cubes | 1 teaspoon soy sauce | 1 teaspoon salt | 0.25 teaspoon white sugar | 1 egg white | 2 green onions, chopped | 1 quart vegetable oil for frying | 0.5 cup cornstarch | 1 tablespoon vegetable oil | 3 stalks celery, cut into 1/2 inch pieces | 1 medium green bell pepper, cut into 1 inch pieces | 1 medium onion, cut into wedges | 1 pinch white sugar, or to taste | salt to taste | 1.25 cups water, divided | 0.75 cup white sugar | 0.33333334326744 cup apple cider vinegar | 0.25 cup ketchup | 0.5 teaspoon soy sauce | 0.25 teaspoon salt | 1 (8 ounce) can pineapple chunks, undrained | 2 tablespoons cornstarch","2. Gather all ingredients. | 3. Place cubed pork in a medium bowl and season with soy sauce, salt, and sugar for marinade. | 4. Add egg white and green onions and mix until well-combined. Cover and place in the refrigerator for at least 1 hour. | 5. Heat 1 quart oil to 365 degrees F (185 degrees C) in a large, heavy saucepan or deep fryer. Coat pork with cornstarch. | 6. Fry in hot oil until evenly browned, about 10 minutes. Drain on paper towels and set aside. | 7. Heat oil for vegetables in a wok over medium heat. Stir in celery, bell pepper, and onion; cook until tender, about 5 minutes. Season with pinch of sugar and salt. Remove from heat and set aside. | 8. Mix 1 cup water, 3/4 cup sugar, apple cider vinegar, ketchup, soy sauce, and salt in a large saucepan; bring to a boil over high heat. | 9. Stir in cooked pork, celery mixture, and pineapple chunks with juice. | 10. Return to a boil, then mix in remaining 1/4 cup water and cornstarch. Cook until thickened and warmed through, about 2 minutes.",663kcal,35g,7g,43mg,1085mg,75g,2g,52g,14g,36mg,57mg,2mg,517mg
