ingredient,disease,effect,reason
cardamom flavored extract,kidney disease,positive,A good way to add flavor to foods without adding sodium.
cardamom pod,kidney disease,positive,A spice that can add flavor to food without adding sodium.
cardamom seed,kidney disease,positive,A spice that can add flavor to food without adding sodium.
carrot,kidney disease,negative,Contains a significant amount of potassium and should be eaten in limited quantities.
carrot matchstick,kidney disease,negative,Contains a significant amount of potassium and should be eaten in limited quantities.
cashew,kidney disease,very negative,Nuts are very high in potassium and phosphorus.
cashew half,kidney disease,very negative,Nuts are very high in potassium and phosphorus.
cassava flour,kidney disease,neutral,Lower in potassium and phosphorus compared to many other flours.
catfish fillet,kidney disease,negative,"While a source of protein, fish is high in phosphorus and must be portion-controlled."
cauliflower,kidney disease,positive,"A low-potassium, low-phosphorus vegetable that is a great choice for a kidney-friendly diet."
cayenne,kidney disease,positive,A spice that can add flavor to food without adding sodium.
cayenne pepper,kidney disease,positive,A spice that can add flavor to food without adding sodium.
celery,kidney disease,negative,Higher in sodium than most vegetables and contains a moderate amount of potassium.
celery rib,kidney disease,negative,Higher in sodium than most vegetables and contains a moderate amount of potassium.
celery salt,kidney disease,very negative,Extremely high in sodium.
celery seed,kidney disease,neutral,
celery stalk,kidney disease,neutral,
cellophane noodle,kidney disease,neutral,
chai tea bag,kidney disease,neutral,
chamoy,kidney disease,neutral,
champagne,kidney disease,neutral,
champagne vinegar,kidney disease,neutral,
chana dal,kidney disease,neutral,
charcoal,kidney disease,neutral,
chayote squash,kidney disease,neutral,
cheddar cheese,kidney disease,neutral,
cheese curd,kidney disease,neutral,
cheese ravioli,kidney disease,neutral,
cheese sauce,kidney disease,neutral,
cheesecloth,kidney disease,neutral,
cherry,kidney disease,neutral,
cherry tomato,kidney disease,neutral,
chestnut,kidney disease,neutral,
chicken,kidney disease,neutral,
chicken base,kidney disease,neutral,
chicken bone,kidney disease,neutral,
chicken bouillon,kidney disease,neutral,
chicken bouillon granule,kidney disease,neutral,
chicken breast,kidney disease,neutral,
chicken breast half,kidney disease,neutral,
chicken breast meat,kidney disease,neutral,
chicken breast tenderloin,kidney disease,neutral,
chicken broth,kidney disease,neutral,
chicken chunk,kidney disease,neutral,
chicken drumette,kidney disease,neutral,
chicken drumstick,kidney disease,neutral,
chicken gizzard,kidney disease,neutral,
chicken leg,kidney disease,neutral,
chicken leg quarter,kidney disease,neutral,
chicken liver,kidney disease,neutral,
chicken meat,kidney disease,neutral,
chicken part,kidney disease,neutral,
chicken piece,kidney disease,neutral,
chicken soup base,kidney disease,neutral,
chicken stock,kidney disease,neutral,
chicken tender,kidney disease,neutral,
chicken thigh,kidney disease,neutral,
chicken wing,kidney disease,neutral,
chicken wing drumette,kidney disease,neutral,
chickpea,kidney disease,neutral,
chickpea flour,kidney disease,neutral,
chile flake,kidney disease,neutral,
chile garlic sauce,kidney disease,neutral,
chile padi,kidney disease,neutral,
chile paste,kidney disease,neutral,
chile pepper,kidney disease,positive,A good source of flavor without adding sodium. Capsaicin may have anti-inflammatory benefits.
chile powder,kidney disease,negative,Commercial chili powders are often high in sodium.
chile sauce,kidney disease,very negative,Typically extremely high in sodium.
chilean sea bass fillet,kidney disease,negative,"High in phosphorus, which must be limited in a kidney-friendly diet."
chili bean paste,kidney disease,very negative,Extremely high in sodium due to fermentation and processing.
chili garlic sauce,kidney disease,very negative,Typically extremely high in sodium.
chili lime seasoning,kidney disease,negative,Seasoning blends are typically very high in sodium.
chili oil,kidney disease,neutral,
chili pepper,kidney disease,positive,A good source of flavor without adding sodium. Capsaicin may have anti-inflammatory benefits.
chili powder,kidney disease,negative,Commercial chili powders are often high in sodium.
chili sauce,kidney disease,very negative,Typically extremely high in sodium.
chili seasoning mix,kidney disease,very negative,Seasoning mixes are typically extremely high in sodium.
chinese barbequed pork,kidney disease,very negative,"A processed meat, which is very high in sodium and often contains phosphate additives."
chinese broccoli,kidney disease,negative,"High in potassium, which needs to be limited and carefully portioned."
chinese cabbage,kidney disease,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
chinese chive,kidney disease,neutral,
chinese cooking wine,kidney disease,negative,Very high in sodium.
chinese egg noodle,kidney disease,negative,"Made from refined flour, which can be a source of phosphorus and potassium."
chinese egg noodle nest,kidney disease,negative,"Made from refined flour, which can be a source of phosphorus and potassium."
chinese eggplant,kidney disease,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
chinese five spice powder,kidney disease,positive,A salt-free way to add flavor to food.
chinese hot prepared mustard,kidney disease,negative,Prepared mustards are typically high in sodium.
chinese moo shu pancake,kidney disease,neutral,
chinese rice vinegar,kidney disease,positive,"A low-sodium, low-potassium, and low-phosphorus way to add flavor."
chinese rice wine,kidney disease,negative,Often contains a high amount of sodium.
chinese roasted pork,kidney disease,very negative,"A processed meat, which is very high in sodium and often contains phosphate additives."
chipotle chile powder,kidney disease,positive,Pure chile powder is a good salt-free way to add flavor. Check labels for added salt.
chipotle chili powder,kidney disease,positive,Pure chili powder is a good salt-free way to add flavor. Check labels for added salt.
chipotle mayonnaise,kidney disease,negative,"High in sodium and fat, and may contain phosphate additives."
chipotle pepper,kidney disease,positive,A good source of flavor without adding sodium. Avoid those canned in high-sodium adobo sauce.
chive,kidney disease,positive,A low-potassium herb that adds flavor without sodium.
chocolate chip,kidney disease,negative,Chocolate is high in both potassium and phosphorus.
chocolate mix,kidney disease,very negative,"Very high in phosphorus, potassium, and sugar."
chocolate sprinkle,kidney disease,negative,High in sugar and contains phosphorus from chocolate.
chocolate wafer cookie,kidney disease,negative,"A processed food high in sugar, phosphorus, and potassium."
chorizo,kidney disease,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chorizo de bilbao,kidney disease,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chorizo sausage,kidney disease,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chourico,kidney disease,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chourico sausage,kidney disease,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chow mein noodle,kidney disease,negative,"Often high in sodium and made from refined flour, which contains phosphorus."
chutney,kidney disease,negative,Typically very high in sugar and sodium.
ciabatta sandwich roll,kidney disease,negative,Made from refined flour and is often high in sodium and phosphorus.
cider vinegar,kidney disease,positive,"A low-sodium, low-potassium, and low-phosphorus way to add flavor."
cilantro,kidney disease,positive,A low-potassium herb that adds flavor without sodium.
cilantro leaf,kidney disease,positive,A low-potassium herb that adds flavor without sodium.
cilantro stem,kidney disease,positive,A low-potassium herb that adds flavor without sodium.
cinnamon,kidney disease,positive,A salt-free spice that adds flavor and may help with blood sugar control.
cinnamon stick,kidney disease,positive,A salt-free spice that adds flavor and may help with blood sugar control.
cinnamon sugar,kidney disease,neutral,
citric acid,kidney disease,positive,Citrate can help prevent the formation of certain types of kidney stones.
clam,kidney disease,negative,"High in protein and can be high in sodium and potassium, which should be limited."
clarified butter,kidney disease,neutral,
clove,kidney disease,neutral,
club soda,kidney disease,negative,Can be high in sodium and may contain phosphate additives.
coarse salt,kidney disease,very negative,"Extremely high in sodium, which raises blood pressure and causes fluid retention, straining the kidneys."
cocoa,kidney disease,negative,"High in potassium, phosphorus, and oxalates, which should be limited in a kidney diet."
cocoa mix,kidney disease,very negative,Very high in potassium and phosphorus from cocoa and often contains added phosphates and sodium.
cocoa powder,kidney disease,negative,"High in potassium, phosphorus, and oxalates, which should be limited in a kidney diet."
coconut,kidney disease,negative,High in potassium.
coconut cream,kidney disease,negative,"Concentrated source of coconut, making it very high in potassium."
coconut extract,kidney disease,neutral,
coconut flake,kidney disease,negative,"Concentrated source of coconut, making it high in potassium."
coconut flavored rum,kidney disease,negative,Alcohol should be limited for individuals with kidney disease.
coconut flour,kidney disease,negative,High in potassium and phosphorus.
coconut milk,kidney disease,negative,High in potassium and phosphorus.
coconut milk powder,kidney disease,very negative,"A concentrated form of coconut milk, making it extremely high in potassium and phosphorus."
coconut oil,kidney disease,neutral,
coconut preserve,kidney disease,negative,High in sugar and potassium from coconut.
coconut sugar,kidney disease,negative,High in sugar and contains more potassium than regular sugar.
coconut water,kidney disease,very negative,"Extremely high in potassium, which can be dangerous for damaged kidneys."
cod,kidney disease,neutral,
cod fish,kidney disease,neutral,
cod fillet,kidney disease,neutral,
coffee,kidney disease,negative,"High in potassium, and fluid intake may need to be restricted."
coffee bean,kidney disease,negative,High in potassium.
coffee flavored liqueur,kidney disease,negative,"Contains alcohol and potassium from coffee, both of which should be limited."
cola,kidney disease,very negative,"Often contains phosphoric acid, a highly absorbable form of phosphorus that is very harmful to kidneys."
cola flavored carbonated beverage,kidney disease,very negative,"Often contains phosphoric acid, a highly absorbable form of phosphorus that is very harmful to kidneys."
colby longhorn cheese,kidney disease,very negative,All cheese is very high in sodium and phosphorus.
coleslaw mix,kidney disease,positive,"Typically contains cabbage, which is a low-potassium, kidney-friendly vegetable."
collard green,kidney disease,negative,Very high in potassium and oxalates.
colored sprinkle,kidney disease,neutral,
condensed beef broth,kidney disease,very negative,Extremely high in sodium.
condensed cream of chicken soup,kidney disease,very negative,Extremely high in sodium and often contains phosphate additives.
condensed cream of mushroom soup,kidney disease,very negative,"Extremely high in sodium and potassium, and often contains phosphate additives."
condensed milk,kidney disease,very negative,"Very high in sugar, phosphorus, and potassium."
condensed tomato soup,kidney disease,very negative,Extremely high in sodium and potassium from tomatoes.
confectioners sugar,kidney disease,neutral,
cooking oil,kidney disease,neutral,
cooking sherry,kidney disease,very negative,Contains alcohol and is extremely high in sodium.
cooking spray,kidney disease,neutral,
cooking wine,kidney disease,very negative,Contains alcohol and is extremely high in sodium.
coriander,kidney disease,neutral,
coriander powder,kidney disease,neutral,
coriander seed,kidney disease,neutral,
corn,kidney disease,neutral,
corn flour,kidney disease,neutral,
corn husk,kidney disease,neutral,
corn kernel,kidney disease,neutral,
corn oil,kidney disease,neutral,
corn syrup,kidney disease,neutral,
corn tortilla,kidney disease,neutral,
corned beef,kidney disease,very negative,Extremely high in sodium from the curing process.
corned beef brisket,kidney disease,very negative,Extremely high in sodium from the curing process.
cornflakes cereal,kidney disease,negative,Often high in added sodium and may contain phosphorus additives.
cornichon,kidney disease,very negative,Very high in sodium due to the pickling process.
cornmeal,kidney disease,neutral,
cornstarch,kidney disease,positive,"Low in protein, sodium, potassium, and phosphorus; a good thickener for sauces."
cottage cheese,kidney disease,negative,High in both sodium and phosphorus.
country style pork rib,kidney disease,negative,High in protein and phosphorus; preparation can add significant sodium.
couscous,kidney disease,neutral,
cover,kidney disease,neutral,
crab meat,kidney disease,negative,High in phosphorus and canned versions are often high in sodium.
cranberry,kidney disease,positive,Low in potassium and may help prevent urinary tract infections.
cranberry juice,kidney disease,positive,Low in potassium; choose low-sugar options for best health benefits.
cranberry sauce,kidney disease,neutral,
cream,kidney disease,negative,A dairy product that contains phosphorus.
cream cheese,kidney disease,negative,High in sodium and phosphorus.
cream of coconut,kidney disease,negative,High in potassium and added sugar.
cream of tartar,kidney disease,negative,A concentrated source of potassium.
cream of wheat cereal,kidney disease,positive,A refined hot cereal that is low in phosphorus and potassium.
creme fraiche,kidney disease,negative,A dairy product that contains phosphorus.
crescent roll,kidney disease,negative,Processed dough high in sodium and phosphate additives.
crescent roll dough,kidney disease,negative,Processed dough high in sodium and phosphate additives.
crystallized ginger,kidney disease,neutral,
cuban bread,kidney disease,neutral,
cube,kidney disease,neutral,
cube steak,kidney disease,negative,Red meat is high in protein and phosphorus.
cucumber,kidney disease,positive,Low in potassium and good for hydration.
culantro,kidney disease,neutral,
cultured buttermilk,kidney disease,negative,Dairy product high in potassium and phosphorus.
cumin,kidney disease,positive,A salt-free way to add flavor to food.
cumin seed,kidney disease,positive,A salt-free way to add flavor to food.
curing salt,kidney disease,very negative,Extremely high in sodium; used to make processed meats.
currant,kidney disease,negative,Dried fruit that is a concentrated source of potassium.
curry leaf,kidney disease,neutral,
curry paste,kidney disease,negative,Often very high in sodium and may contain high-potassium ingredients.
curry powder,kidney disease,positive,"A good salt-free flavor alternative, assuming no salt is added to the blend."
custard powder,kidney disease,neutral,
daikon,kidney disease,positive,A low-potassium vegetable.
daikon radish,kidney disease,positive,A low-potassium vegetable.
damask rose petal,kidney disease,neutral,
danish butter,kidney disease,neutral,
dark brown sugar,kidney disease,negative,Higher in potassium than white sugar due to molasses content.
dark chocolate,kidney disease,negative,Very high in both potassium and phosphorus.
dark chocolate chip,kidney disease,negative,Very high in both potassium and phosphorus.
dark corn syrup,kidney disease,negative,Higher in potassium than light corn syrup.
dark raisin,kidney disease,negative,Dried fruit that is a concentrated source of potassium.
dark rum,kidney disease,neutral,
dark soy sauce,kidney disease,very negative,"Extremely high in sodium, which can increase blood pressure and fluid retention, straining the kidneys."
dashi granule,kidney disease,very negative,"A concentrated source of sodium and often potassium, both of which need to be strictly limited."
dashi kombu,kidney disease,negative,Kombu (seaweed) is very high in potassium.
dashi stock,kidney disease,very negative,"Typically very high in sodium from soy sauce, salt, and other flavorings."
date,kidney disease,negative,"Very high in potassium, which can build up to dangerous levels in the blood."
date paste,kidney disease,negative,"A concentrated form of dates, making it very high in potassium."
deep frying,kidney disease,negative,"This cooking method adds excessive fat, which can worsen cardiovascular health, a major concern for individuals with kidney disease."
deli roast pork loin,kidney disease,very negative,"Deli meats are typically processed with very high amounts of sodium and often contain phosphate additives, which are harmful to kidneys."
dende oil,kidney disease,neutral,
diakon radish,kidney disease,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
diamond crystal,kidney disease,very negative,"This is a brand of salt (sodium chloride), which must be severely restricted to manage blood pressure and fluid balance."
diced tomato,kidney disease,negative,Tomatoes and tomato products are high in potassium.
diet lemon lime soda,kidney disease,negative,"Many dark colas and some other sodas contain phosphoric acid, a form of phosphorus that is easily absorbed and should be avoided."
dijon mustard,kidney disease,negative,High in sodium.
dijon style mustard,kidney disease,negative,High in sodium.
dill,kidney disease,positive,"A fresh herb that can add flavor to food without adding sodium, helping to reduce salt intake."
dill pickle,kidney disease,very negative,Extremely high in sodium due to the brining and pickling process.
dill pickle juice,kidney disease,very negative,The brine is a concentrated source of sodium.
dill pickle slice,kidney disease,very negative,Extremely high in sodium due to the brining and pickling process.
dill pickle spear,kidney disease,very negative,Extremely high in sodium due to the brining and pickling process.
dill seed,kidney disease,positive,A spice that can add flavor to food without adding sodium.
dill weed,kidney disease,positive,An herb that can add flavor to food without adding sodium.
dinner roll dough,kidney disease,negative,Commercial doughs are often high in sodium and may contain phosphate additives.
distilled white vinegar,kidney disease,positive,A sodium-free way to add flavor and acidity to dishes.
double crust pie pastry,kidney disease,negative,"Typically high in sodium, fat, and refined carbohydrates. May contain phosphate additives."
dragon fruit,kidney disease,positive,A fruit that is relatively low in potassium compared to many other fruits.
dried apricot,kidney disease,very negative,"Dried fruits are a concentrated source of potassium, and apricots are particularly high."
dried bonito flake,kidney disease,negative,"High in protein, sodium, and potassium."
dried chourico sausage,kidney disease,very negative,"A processed, cured meat that is extremely high in sodium, protein, and often phosphate additives."
dried coconut,kidney disease,negative,High in both potassium and phosphorus.
dried purple corn,kidney disease,negative,"Corn is a source of phosphorus and potassium, which are concentrated when dried."
dried red chili flake,kidney disease,positive,"Used in small amounts, it adds flavor without adding sodium."
dry corn muffin mix,kidney disease,negative,Processed mixes are typically high in sodium and contain phosphate additives.
dry egg noodle,kidney disease,neutral,
dry kidney bean,kidney disease,very negative,"Extremely high in both potassium and phosphorus, which must be limited in a kidney-friendly diet."
dry milk powder,kidney disease,very negative,"A concentrated source of dairy, making it very high in both potassium and phosphorus."
dry mushroom gravy mix,kidney disease,very negative,Processed mixes are extremely high in sodium and often contain phosphate additives.
dry mustard,kidney disease,positive,A spice that adds flavor without sodium.
dry onion soup mix,kidney disease,very negative,Extremely high in sodium.
dry red wine,kidney disease,neutral,
dry white wine,kidney disease,neutral,
dry yeast,kidney disease,neutral,
duck blood,kidney disease,negative,"Very high in protein and phosphorus, which need to be carefully managed."
duck breast half,kidney disease,neutral,A source of protein that is acceptable when portion sizes are controlled according to individual dietary needs.
duck fat,kidney disease,neutral,
duck leg,kidney disease,neutral,A source of protein that is acceptable when portion sizes are controlled according to individual dietary needs.
dulce de leche,kidney disease,negative,"Made from concentrated milk, making it high in phosphorus and potassium."
dumpling wrapper,kidney disease,neutral,
dungeness crab,kidney disease,negative,"High in protein and phosphorus, and can be high in sodium depending on preparation."
durian,kidney disease,very negative,A fruit that is exceptionally high in potassium.
dusting,kidney disease,neutral,"This is a technique, not a specific ingredient. The effect depends on what is used for dusting (e.g., flour, sugar)."
edible flower,kidney disease,neutral,
egg,kidney disease,negative,The yolk is very high in phosphorus. Egg whites are a better choice.
egg noodle,kidney disease,neutral,"A refined pasta that is generally low in potassium and phosphorus, but portion size is important."
egg roll wrapper,kidney disease,negative,Typically high in sodium.
egg substitute,kidney disease,negative,Can be high in sodium and may contain phosphate additives.
egg white,kidney disease,positive,An excellent source of high-quality protein that is low in phosphorus.
egg yolk,kidney disease,very negative,Very high in phosphorus and should be avoided or severely limited.
eggnog,kidney disease,very negative,"Made with milk and egg yolks, making it very high in phosphorus and potassium."
eggplant,kidney disease,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
elbow macaroni,kidney disease,positive,"Refined pasta is a good source of energy and is low in phosphorus, potassium, and sodium."
elephant garlic,kidney disease,positive,A good way to add flavor without sodium; low in potassium.
elk steak,kidney disease,negative,Red meat is a source of high-quality protein but is also high in phosphorus and should be limited.
emmental cheese,kidney disease,very negative,All cheese is high in sodium and phosphorus.
empanada dough,kidney disease,negative,Typically high in sodium.
empanada pastry disc,kidney disease,negative,Typically high in sodium.
empanada pastry round,kidney disease,negative,Typically high in sodium.
english cucumber,kidney disease,positive,"Low in potassium, phosphorus, and sodium."
english mustard,kidney disease,negative,Prepared mustards are typically very high in sodium.
english walnut,kidney disease,very negative,Nuts are very high in phosphorus and potassium.
enoki mushroom,kidney disease,negative,Mushrooms are a source of potassium and should be limited.
evaporated milk,kidney disease,very negative,"A concentrated source of dairy, making it very high in phosphorus and potassium."
extra virgin olive oil,kidney disease,positive,"A healthy fat that is free of sodium, potassium, and phosphorus."
farina,kidney disease,positive,A refined wheat cereal that is low in phosphorus and potassium.
farina cereal,kidney disease,positive,A refined wheat cereal that is low in phosphorus and potassium.
farmers cheese,kidney disease,negative,"While lower than aged cheeses, it is still a source of sodium and phosphorus."
fava bean,kidney disease,very negative,Beans are very high in both potassium and phosphorus.
fennel seed,kidney disease,neutral,
fenugreek,kidney disease,neutral,
fenugreek leaf,kidney disease,neutral,
fenugreek seed,kidney disease,neutral,
fermented black bean,kidney disease,very negative,Extremely high in sodium.
fermented soybean,kidney disease,very negative,Products like miso and soy sauce are very high in sodium and phosphorus.
feta cheese,kidney disease,very negative,Very high in sodium and a significant source of phosphorus.
fettuccine pasta,kidney disease,positive,"Refined pasta is a good source of energy and is low in phosphorus, potassium, and sodium."
fettuccini noodle,kidney disease,positive,"Refined pasta is a good source of energy and is low in phosphorus, potassium, and sodium."
fiddlehead fern,kidney disease,negative,A source of potassium and phosphorus.
filling,kidney disease,neutral,Effect depends entirely on the specific ingredients of the filling.
fines herb,kidney disease,positive,Using herbs is an excellent way to add flavor to food without using salt.
fire roasted diced tomato,kidney disease,very negative,Tomatoes and all tomato products are very high in potassium.
firm silken tofu,kidney disease,negative,Contains moderate amounts of phosphorus and potassium and must be portion controlled.
firm tofu,kidney disease,negative,Contains moderate amounts of phosphorus and potassium and must be portion controlled.
fish sauce,kidney disease,very negative,Extremely high in sodium.
fish stock,kidney disease,negative,Commercial stocks and broths are typically very high in sodium.
five spice powder,kidney disease,neutral,
flank steak,kidney disease,negative,Red meat is a source of high-quality protein but is also high in phosphorus and should be limited.
flat iron steak,kidney disease,negative,Red meat is a source of high-quality protein but is also high in phosphorus and should be limited.
flat leaf italian parsley,kidney disease,negative,"High in potassium, especially when used in large quantities rather than as a garnish."
flat leaf parsley,kidney disease,negative,"High in potassium, especially when used in large quantities rather than as a garnish."
flat rice noodle,kidney disease,positive,"Made from rice flour, which is low in potassium, phosphorus, and sodium."
flaxseed meal,kidney disease,negative,"High in phosphorus and potassium, which need to be restricted in a renal diet."
flaxseed oil,kidney disease,positive,"A good source of anti-inflammatory omega-3 fatty acids and is low in sodium, potassium, and phosphorus."
flour,kidney disease,neutral,
flour tortilla,kidney disease,negative,Can be high in sodium and phosphorus from leavening agents and preservatives.
foil,kidney disease,neutral,
food coloring,kidney disease,neutral,
french baguette,kidney disease,negative,"Made from refined flour, but is often very high in sodium."
french bread,kidney disease,negative,"Made from refined flour, but is often very high in sodium."
french bread baguette,kidney disease,negative,"Made from refined flour, but is often very high in sodium."
french cut green bean,kidney disease,positive,Green beans are a low-potassium vegetable suitable for a renal diet. Choose 'no salt added' if canned.
french fry,kidney disease,very negative,"Made from potatoes, which are very high in potassium. They are also typically high in sodium and unhealthy fats."
french green lentil,kidney disease,very negative,Lentils are very high in both potassium and phosphorus.
french sandwich roll,kidney disease,negative,Can be very high in sodium.
french style green bean,kidney disease,positive,Green beans are a low-potassium vegetable suitable for a renal diet. Choose 'no salt added' if canned.
french fried onion,kidney disease,very negative,"Very high in sodium, fat, and often contains phosphorus additives."
fresh ginger,kidney disease,positive,Has anti-inflammatory properties and adds flavor without sodium.
freshly ground black pepper,kidney disease,positive,An excellent salt-free seasoning to add flavor to food.
fresno chile,kidney disease,positive,Adds flavor without sodium and is low in potassium in typical serving sizes.
fresno chile pepper,kidney disease,positive,Adds flavor without sodium and is low in potassium in typical serving sizes.
fried pork skin,kidney disease,very negative,Extremely high in sodium and unhealthy fats.
fried shallot,kidney disease,negative,High in fat from frying and often high in sodium.
frozen puff pastry,kidney disease,negative,Typically very high in sodium and unhealthy fats.
fruit cocktail,kidney disease,negative,"Often packed in high-sugar syrup, and the potassium content can be high depending on the fruits included."
fruit jam,kidney disease,negative,"Very high in sugar, which should be limited for overall health and in cases of diabetes co-morbidity."
fruit preserve,kidney disease,negative,"Very high in sugar, which should be limited for overall health and in cases of diabetes co-morbidity."
fruity red wine,kidney disease,negative,"Contains alcohol and potassium, both of which should be limited or avoided."
frying,kidney disease,negative,This cooking method adds significant unhealthy fat and can create harmful compounds (AGEs) linked to kidney damage.
full fat plain greek yogurt,kidney disease,very negative,"Very high in protein, potassium, and phosphorus, all of which are typically restricted."
furikake seasoning,kidney disease,very negative,A seasoning blend that is typically very high in sodium and potassium (from seaweed).
gai lan,kidney disease,negative,"Also known as Chinese broccoli, this vegetable is high in potassium."
galangal,kidney disease,positive,"Similar to ginger, it has anti-inflammatory properties and adds flavor without sodium."
galangal powder,kidney disease,neutral,
gandule,kidney disease,very negative,"Also known as pigeon peas, these are beans that are very high in potassium and phosphorus."
garam masala,kidney disease,positive,A salt-free spice blend that can be used to flavor food instead of salt.
garbanzo bean,kidney disease,very negative,"Also known as chickpeas, these beans are very high in potassium and phosphorus."
garlic,kidney disease,positive,Excellent for adding flavor without sodium and has potential anti-inflammatory properties.
garlic basil spread,kidney disease,negative,"Prepared spreads are typically high in sodium and may contain cheese, which adds phosphorus."
garlic chili sauce,kidney disease,very negative,Commercially prepared sauces like this are typically extremely high in sodium.
garlic clove,kidney disease,positive,Excellent for adding flavor without sodium and has potential anti-inflammatory properties.
garlic marinade,kidney disease,very negative,Marinades are typically extremely high in sodium.
garlic paste,kidney disease,negative,Often contains added salt; check the label for a salt-free version.
garlic powder,kidney disease,positive,A good salt-free seasoning to add flavor to food.
garlic salt,kidney disease,very negative,"A combination of garlic powder and salt, making it very high in sodium."
gelatin,kidney disease,negative,"A source of protein, which may need to be limited depending on the stage of kidney disease."
german bologna block,kidney disease,very negative,"A processed meat that is very high in sodium, protein, and phosphorus additives."
german stone ground mustard,kidney disease,negative,Mustards are often very high in sodium.
ghee,kidney disease,neutral,
gin,kidney disease,negative,Alcohol consumption should be limited or avoided with kidney disease.
ginger,kidney disease,positive,Has anti-inflammatory properties and adds flavor without sodium.
ginger garlic paste,kidney disease,negative,Often contains added salt; check the label for a salt-free version.
ginger paste,kidney disease,positive,Anti-inflammatory properties and generally low in potassium. Check label for added sodium.
ginger root,kidney disease,positive,Anti-inflammatory properties and generally low in potassium.
gingersnap cookie,kidney disease,negative,"Processed food, high in sugar and likely contains added sodium and phosphorus."
gluten free all purpose baking flour,kidney disease,neutral,
glutinous rice flour,kidney disease,neutral,
glutinous sweet rice,kidney disease,neutral,
glutinous sticky white rice,kidney disease,neutral,
glutinous white rice,kidney disease,neutral,
goat cheese,kidney disease,negative,High in sodium and phosphorus.
goat meat,kidney disease,negative,"High in protein, phosphorus, and potassium, requiring strict portion control."
goat stew meat,kidney disease,negative,"High in protein, phosphorus, and potassium, requiring strict portion control."
gochugaru,kidney disease,neutral,
gochujang,kidney disease,very negative,Extremely high in sodium.
gold potato,kidney disease,very negative,Very high in potassium.
golden mushroom soup,kidney disease,very negative,Canned soups are very high in sodium and often contain phosphate additives.
golden raisin,kidney disease,very negative,Dried fruit is a concentrated source of potassium.
golden syrup,kidney disease,neutral,
gouda cheese,kidney disease,negative,High in sodium and phosphorus.
graham cracker,kidney disease,negative,"Processed food containing significant sodium, phosphorus, and sugar."
graham cracker crumb,kidney disease,negative,"Processed food containing significant sodium, phosphorus, and sugar."
graham cracker crust,kidney disease,negative,"Processed food containing significant sodium, phosphorus, and sugar."
gram flour,kidney disease,negative,"Made from chickpeas, which are high in potassium and phosphorus."
granny smith apple,kidney disease,positive,"A low-potassium fruit, which is a good choice for a kidney-friendly diet."
granulated onion,kidney disease,neutral,
granulated sugar,kidney disease,neutral,
grape leaf,kidney disease,negative,"Typically preserved in brine, making it very high in sodium."
grape tomato,kidney disease,negative,Tomatoes are high in potassium.
grapefruit juice,kidney disease,very negative,"Can dangerously interact with common medications for blood pressure and cholesterol, often taken by kidney patients."
grapeseed oil,kidney disease,neutral,
great northern bean,kidney disease,very negative,Beans are very high in both potassium and phosphorus.
greek black olive,kidney disease,negative,Very high in sodium due to the curing process.
greek oregano,kidney disease,neutral,
greek seasoning,kidney disease,negative,Seasoning blends are typically very high in sodium.
greek style yogurt,kidney disease,negative,"High in protein, potassium, and phosphorus."
greek yogurt,kidney disease,negative,"High in protein, potassium, and phosphorus."
green apple,kidney disease,positive,"A low-potassium fruit, which is a good choice for a kidney-friendly diet."
green banana,kidney disease,very negative,Bananas are very high in potassium.
green bean,kidney disease,neutral,
green bell pepper,kidney disease,positive,A low-potassium vegetable and a good source of vitamins.
green cabbage,kidney disease,positive,A low-potassium vegetable rich in vitamins C and K.
green cardamom,kidney disease,neutral,
green chile,kidney disease,neutral,
green chile paste,kidney disease,negative,Often contains high levels of added sodium.
green chile pepper,kidney disease,neutral,
green curry paste,kidney disease,very negative,Extremely high in sodium.
green garlic,kidney disease,positive,Provides flavor without adding sodium and is low in potassium.
green gel food coloring,kidney disease,neutral,
green grape,kidney disease,positive,A low-potassium fruit.
green lentil,kidney disease,very negative,Lentils are very high in both potassium and phosphorus.
green mango,kidney disease,negative,Mangoes are high in potassium.
green mung bean,kidney disease,negative,"High in potassium and phosphorus, which need to be limited in a kidney-friendly diet."
green olive,kidney disease,very negative,"Typically cured in brine, making them extremely high in sodium."
green onion,kidney disease,positive,"Low in sodium, potassium, and phosphorus. A good way to add flavor without salt."
green onion top,kidney disease,positive,"Low in sodium, potassium, and phosphorus. A good way to add flavor without salt."
green papaya,kidney disease,neutral,
green pea,kidney disease,negative,"Contains moderate levels of potassium and phosphorus, which should be limited."
green pepper,kidney disease,positive,Low in potassium and a good source of vitamins. A kidney-friendly vegetable choice.
green plantain,kidney disease,very negative,"Extremely high in potassium, which is dangerous for individuals with advanced kidney disease."
green tea powder,kidney disease,negative,"High in potassium and oxalates, which can contribute to kidney stones."
grill,kidney disease,neutral,
