ingredient,effect,reason
swedish arrack punsch,negative,"Alcoholic beverages can be dehydrating and hard on the kidneys, and liqueurs are high in sugar."
sweet bread roll,negative,Processed breads are often high in sodium and may contain phosphorus additives.
sweet cherry,positive,A good source of antioxidants and vitamins; considered a kidney-friendly fruit in moderation due to its potassium content.
sweet chili sauce,very negative,Typically very high in both sodium and sugar.
sweet corn,negative,Higher in phosphorus and potassium than many other vegetables; portion control is important.
sweet corn kernel,negative,Higher in phosphorus and potassium than many other vegetables; portion control is important.
sweet manioc starch,neutral,
sweet onion,positive,Low in potassium and provides excellent flavor without adding sodium.
sweet paprika,neutral,
sweet pea,negative,Contains moderate to high levels of potassium and phosphorus.
sweet potato,very negative,"Extremely high in potassium, a mineral that is strictly limited for most kidney patients."
sweet potato noodle,neutral,"Made from starch, which is low in potassium and phosphorus, unlike the whole vegetable."
sweet potato vermicelli,neutral,"Made from starch, which is low in potassium and phosphorus, unlike the whole vegetable."
sweet red chili sauce,very negative,Typically very high in both sodium and sugar.
sweet rice flour,neutral,
sweet soy sauce,very negative,Extremely high in sodium and typically high in sugar.
sweet spanish onion,positive,Low in potassium and provides excellent flavor without adding sodium.
sweet thai basil,neutral,
sweet yellow onion,positive,Low in potassium and provides excellent flavor without adding sodium.
sweetened condensed milk,very negative,Very high in both sugar and phosphorus from the milk.
swiss chard,very negative,A leafy green that is extremely high in potassium.
swiss cheese,negative,"High in phosphorus and sodium, which should be limited."
szechuan peppercorn,neutral,
table cream,negative,Dairy products are a significant source of phosphorus and potassium.
taco seasoning mix,very negative,Commercial seasoning mixes are typically extremely high in sodium.
tahini,negative,"Made from sesame seeds, which are high in phosphorus and potassium."
tahini paste,negative,"Made from sesame seeds, which are high in phosphorus and potassium."
tamari,very negative,"A type of soy sauce, which is extremely high in sodium."
tamari sauce,very negative,"A type of soy sauce, which is extremely high in sodium."
tamarind concentrate,very negative,"Tamarind is very high in potassium, and the concentrate is even more potent."
tamarind juice,negative,High in potassium.
tamarind paste,very negative,"A concentrated source of potassium, which is typically restricted."
tamarind powder,very negative,"A concentrated source of potassium, which is typically restricted."
tamarind soup base,very negative,Likely to be very high in both sodium and potassium (from tamarind).
tandoori masala,negative,Commercial spice blends often contain high amounts of added salt.
tangerine,positive,A good source of Vitamin C. Can be included in moderation as it contains some potassium.
tangerine zest,neutral,
tapioca flour,neutral,
tapioca starch,neutral,
tarama,very negative,Fish roe is very high in both phosphorus and sodium.
tarragon,neutral,
tart shell,negative,"Typically high in sodium, phosphorus, and refined carbohydrates."
tea biscuit,negative,"Typically high in sodium, phosphorus, and refined carbohydrates."
tempeh,negative,"High in phosphorus and potassium, which need to be limited in a kidney diet."
tempura batter mix,negative,Usually high in sodium and may contain phosphorus additives.
tequila,negative,"Alcohol can raise blood pressure and dehydrate the body, which is stressful for kidneys."
teriyaki sauce,very negative,"Extremely high in sodium, which can increase blood pressure and fluid retention."
texas toast thick sliced bread,negative,White bread is a source of phosphorus and sodium.
textured vegetable protein,negative,"High in protein, phosphorus, and potassium, requiring strict portion control."
thai basil,positive,"A salt-free way to add flavor to food. Used in small amounts, it is low in potassium."
thai basil leaf,positive,"A salt-free way to add flavor to food. Used in small amounts, it is low in potassium."
thai bird chile pepper,positive,"Adds flavor without sodium, helping to reduce salt intake."
thai chile,positive,"Adds flavor without sodium, helping to reduce salt intake."
thai chile pepper,positive,"Adds flavor without sodium, helping to reduce salt intake."
thai fish sauce,very negative,Extremely high in sodium.
thai green chile,positive,"Adds flavor without sodium, helping to reduce salt intake."
thai red curry paste,very negative,Typically very high in sodium from salt and shrimp paste.
thin rice noodle,positive,"A good low-protein, low-phosphorus, and low-potassium carbohydrate choice."
thousand island salad dressing,very negative,"Very high in sodium, fat, and often sugar."
thyme,positive,Herb that provides flavor without adding sodium.
thyme leaf,positive,Herb that provides flavor without adding sodium.
tiger prawn,negative,"High in protein and phosphorus, requiring strict portion control."
tilapia,negative,"A source of high-quality protein but also phosphorus, which must be limited and portioned."
tilapia fillet,negative,"A source of high-quality protein but also phosphorus, which must be limited and portioned."
toenjang,very negative,Fermented soybean paste that is extremely high in sodium.
tofu,negative,"A source of protein, phosphorus, and potassium that requires portion control."
tom yum paste,very negative,Typically very high in sodium.
tomato,very negative,"Very high in potassium, which is often restricted in kidney diets."
tomato juice,very negative,A concentrated source of potassium and often has high added sodium.
tomato paste,very negative,A highly concentrated source of potassium.
tomato puree,very negative,A concentrated source of potassium.
tomato sauce,very negative,Very high in potassium and typically very high in sodium.
tomato soup,very negative,Very high in potassium and typically very high in sodium.
toothpick,neutral,
top round steak,negative,"Red meat is high in protein, phosphorus, and potassium, which can be hard on the kidneys."
top sirloin steak,negative,"Red meat is high in protein, phosphorus, and potassium, which can be hard on the kidneys."
triple sec,negative,Alcohol and high sugar content can be detrimental to kidney health.
tsaoko,positive,A spice that adds flavor without sodium.
tuna,negative,High in protein and phosphorus. Canned versions are often very high in sodium.
tuna steak,negative,"High in protein and phosphorus, requiring portion control."
turbinado sugar,negative,"Excess sugar intake should be avoided, especially with co-morbidities like diabetes."
turkey,negative,A source of protein and phosphorus that requires careful portion control.
turkey carcass,negative,Making stock can leach high amounts of phosphorus and potassium into the broth.
turkey hot dog,very negative,Processed meats are extremely high in sodium and phosphorus additives.
turkey leg,negative,Dark meat is higher in phosphorus and potassium than breast meat.
turkish bay leaf,positive,Herb that provides flavor without adding sodium.
turmeric,positive,"Contains curcumin, which has anti-inflammatory properties that may be beneficial."
turmeric root,positive,"Contains curcumin, which has anti-inflammatory properties that may be beneficial."
turnip,positive,"A low-potassium root vegetable, making it a good alternative to potatoes."
tzatziki sauce,negative,"Can be high in sodium, and the dairy base contains potassium and phosphorus."
ube,very negative,A type of purple yam that is very high in potassium.
udon noodle,negative,Often high in sodium and made from refined flour.
unbleached all purpose flour,neutral,
unbleached flour,neutral,
unflavored gelatin,neutral,
unsalted butter,neutral,
unsweetened baking chocolate,negative,High in potassium and phosphorus.
unsweetened chocolate,negative,High in potassium and phosphorus.
unsweetened cocoa,negative,High in potassium and phosphorus.
unsweetened cocoa powder,negative,High in potassium and phosphorus.
unsweetened coconut flake,negative,High in potassium.
unsweetened flaked coconut,negative,High in potassium.
vanilla,neutral,
vanilla bean,neutral,
vanilla bean ice cream,negative,"High in sugar, phosphorus, and potassium from dairy."
vanilla custard powder,negative,Often contains high amounts of sugar and phosphate additives.
vanilla extract,neutral,
vanilla ice cream,negative,"High in sugar, phosphorus, and potassium from dairy."
vanilla powder,neutral,
vanilla pudding mix,negative,High in sugar and often contains phosphate additives.
vanilla rum,negative,Alcohol should be consumed in moderation.
vanilla sugar,negative,Added sugar should be limited.
veal,negative,"High in protein and phosphorus, which should be limited."
veal cutlet,negative,"High in protein and phosphorus, which should be limited."
veal stock,very negative,Typically very high in sodium and potassium.
vegan butter,negative,Can be high in sodium and unhealthy fats.
vegan margarine,negative,Can be high in sodium and unhealthy fats.
vegan white cheese,very negative,Often highly processed and very high in sodium and phosphate additives.
vegetable bouillon,very negative,Extremely high in sodium.
vegetable bouillon powder,very negative,Extremely high in sodium.
vegetable broth,very negative,Typically very high in sodium and potassium.
vegetable juice,very negative,Often high in potassium and sodium.
vegetable oil,neutral,
vegetable shortening,negative,A source of unhealthy processed fats.
vegetable stock,very negative,Typically very high in sodium and potassium.
vegetarian fish sauce,very negative,Typically very high in sodium.
vietnamese fish sauce,very negative,Extremely high in sodium.
vietnamese style rice noodle,neutral,
vine ripened tomato,very negative,Very high in potassium.
vinegar,positive,"Can be used as a salt-free flavor enhancer, helping to reduce sodium intake."
vino seco,negative,Alcohol should be consumed in moderation.
violet food coloring,neutral,
vodka,negative,Alcohol should be consumed in moderation.
wakame,very negative,Very high in potassium and sodium.
wakame seaweed flake,very negative,Very high in potassium and sodium.
walleye fillet,negative,"Source of protein and phosphorus, which need to be monitored and limited."
walnut,very negative,Very high in phosphorus and potassium.
walnut half,very negative,Very high in phosphorus and potassium.
walnut piece,very negative,Very high in phosphorus and potassium.
wasabi paste,negative,Often high in sodium.
water,positive,"Crucial for flushing toxins, though intake may be restricted in late-stage disease."
water chestnut,positive,"Low in potassium, phosphorus, and sodium, making it a kidney-friendly vegetable."
watercress,negative,"High in potassium, which needs to be limited in a renal diet."
watermelon,negative,Very high in potassium. The high water content can also be an issue for those on fluid restrictions.
wax bean,neutral,
waxy potato,very negative,"All potatoes are very high in potassium, which must be strictly limited for kidney disease."
wedge,very negative,"Typically refers to a potato wedge, which is very high in potassium."
well,neutral,Not a food ingredient.
wheat,negative,Whole wheat is high in both phosphorus and potassium.
wheat germ,very negative,Extremely high in phosphorus and potassium.
whipped cream,negative,Dairy-based creams are high in phosphorus and saturated fat.
whipped topping,negative,"Often contains phosphate additives, which are easily absorbed and should be avoided."
whipping cream,negative,Dairy-based creams are high in phosphorus and saturated fat.
whiskey,negative,Alcohol can raise blood pressure and be hard on the kidneys. It should be limited or avoided.
white anchovy,very negative,Extremely high in sodium due to curing and processing.
white asparagus,neutral,
white balsamic vinegar,positive,"A good way to add flavor to foods without adding sodium, potassium, or phosphorus."
white bean,very negative,Very high in both potassium and phosphorus.
white bread,positive,"Lower in phosphorus and potassium than whole wheat bread, making it a preferred choice in a renal diet."
white chocolate,negative,High in sugar and contains phosphorus.
white cornmeal,neutral,
white fish fillet,positive,A good source of high-quality protein and generally lower in phosphorus than red meat or oily fish.
white flour,positive,Lower in phosphorus and potassium than whole grain flours.
white miso,very negative,Extremely high in sodium.
white mushroom,neutral,
white onion,positive,Low in potassium and excellent for adding flavor to dishes without using salt.
white pea bean,very negative,A type of bean that is very high in both potassium and phosphorus.
white peach,neutral,
white pepper,neutral,
white peppercorn,neutral,
white potato,very negative,"Very high in potassium, which must be strictly limited for kidney disease."
white radish,positive,"Low in potassium, making it a good vegetable choice for a renal diet."
white rice,positive,"Lower in phosphorus and potassium than brown rice, making it a preferred grain."
white rum,negative,Alcohol can raise blood pressure and be hard on the kidneys. It should be limited or avoided.
white sandwich bread,positive,"Lower in phosphorus and potassium than whole wheat bread, making it a preferred choice in a renal diet."
white sesame seed,negative,High in phosphorus.
white sugar,neutral,
white vinegar,positive,"A good way to add flavor to foods without adding sodium, potassium, or phosphorus."
white wine,negative,Alcohol can raise blood pressure and be hard on the kidneys. It should be limited or avoided.
white wine vinegar,positive,"A good way to add flavor to foods without adding sodium, potassium, or phosphorus."
whitefish fillet,positive,A good source of high-quality protein and generally lower in phosphorus than red meat or oily fish.
whole beef rib,negative,"High in protein, phosphorus, and saturated fat. Portion control is crucial."
whole chicken,neutral,"A good protein source, but portion sizes must be controlled to manage protein and phosphorus intake. Skinless is preferred."
whole milk,very negative,Very high in both phosphorus and potassium.
whole milk mozzarella cheese,very negative,"High in sodium, phosphorus, and saturated fat."
whole rye flour,very negative,Whole grain flours are very high in phosphorus and potassium.
whole wheat berry,very negative,An unprocessed whole grain that is very high in phosphorus and potassium.
whole wheat bread,very negative,Very high in phosphorus and potassium compared to white bread.
whole wheat bread crumb,very negative,Made from whole wheat bread and is very high in phosphorus and potassium.
whole wheat flour,very negative,Very high in phosphorus and potassium.
wide egg noodle,neutral,"Made from refined flour, but the egg adds some phosphorus. Can be eaten in moderation."
wild duck,negative,"High in protein and phosphorus, which are difficult for compromised kidneys to process and must be limited."
wildflower honey,neutral,
wine vinegar,positive,"A salt-free way to add flavor to foods, helping to reduce overall sodium intake."
wonton wrapper,negative,Often high in sodium and made from refined flour.
wood chip,neutral,
wood chunk,neutral,
wood ear mushroom,negative,"Contains a moderate amount of potassium, which should be limited in a kidney-friendly diet."
wood fungus mushroom,negative,"Contains a moderate amount of potassium, which should be limited in a kidney-friendly diet."
wood skewer,neutral,
worcestershire sauce,very negative,"Extremely high in sodium, which must be strictly limited to manage blood pressure and fluid balance."
xylitol,neutral,
yautia,very negative,"Very high in potassium, which is dangerous for individuals with kidney disease who cannot excrete it properly."
yeast,negative,"Can be a significant source of phosphorus (especially nutritional yeast), which needs to be restricted."
yeasted puff pastry,negative,"Typically high in sodium, fat, and may contain phosphate additives which are easily absorbed."
yellow bell pepper,positive,"Low in potassium, sodium, and phosphorus, and a good source of vitamins A and C."
yellow cake mix,very negative,"Highly processed, containing high levels of sodium, sugar, and phosphorus additives."
yellow chili pepper,positive,"Can add flavor without salt, helping to reduce sodium intake."
yellow food coloring,neutral,
yellow lentil,very negative,"High in both potassium and phosphorus, which must be strictly restricted in a kidney diet."
yellow onion,positive,Low in potassium and sodium; an excellent base for flavoring foods without adding salt.
yellow plantain,very negative,"Very high in potassium, which needs to be strictly limited."
yellow saffron rice,negative,Pre-packaged rice mixes are typically very high in sodium.
yellow split pea,very negative,"High in both potassium and phosphorus, which must be strictly restricted in a kidney diet."
yellow squash,positive,"Low in potassium, making it a kidney-friendly vegetable choice."
yellow tomato,very negative,"High in potassium, which needs to be strictly limited in most kidney diets."
yogurt,negative,"High in phosphorus, potassium, and protein, all of which need to be limited in a kidney diet."
yuca,very negative,"Very high in potassium, which is dangerous for individuals with kidney disease."
yuca cassava root,very negative,"Very high in potassium, which is dangerous for individuals with kidney disease."
yukon gold potato,very negative,"Extremely high in potassium. While leaching can help, it remains a high-risk food."
zaatar,negative,"Spice blends often contain high amounts of added salt, and sesame seeds are a source of phosphorus."
zapallo squash,negative,"As a type of winter squash, it is typically high in potassium."
ziti pasta,neutral,
zucchini,positive,"Low in potassium, making it a kidney-friendly vegetable choice."
