title,original_ingredients,standardized_ingredients
The Best Thai Peanut Sauce,"peanut butter, coconut milk, water, lime juice, soy sauce, fish sauce, hot sauce, ginger root, garlic, cilantro","peanut butter, coconut milk, water, lime juice, soy sauce, fish sauce, hot sauce, ginger root, garlic, cilantro"
Kraut Bierocks,"active dry yeast, sugar, water, all-purpose flour, milk, baking powder, shortening, ground beef, Italian sausage, onion, cabbage, mustard, salt, black pepper, American cheese, Cheddar cheese","active dry yeast, sugar, water, all purpose flour, milk, baking powder, shortening, ground beef, italian sausage, onion, cabbage, mustard, salt, black pepper, american cheese, cheddar cheese"
Citrus Ceviche,"lemon juice, lime juice, orange juice, ginger, olive oil, sea bass fillets, cilantro, onion, avocados, salt and pepper, eggs","lemon juice, lime juice, orange juice, ginger, olive oil, sea bass fillet, cilantro, onion, avocado, salt, black pepper, egg"
Stroopwafels with Treacle,"all-purpose flour, butter, white sugar, milk, egg, active dry yeast, molasses or black treacle, soft brown sugar, butter, cinnamon","all purpose flour, butter, sugar, milk, egg, active dry yeast, black treacle, soft brown sugar, cinnamon"
Hawaiian Chocolate Macadamia Nut Tart,"macadamia nuts, unsweetened coconut flakes, pie crusts, semi-sweet chocolate chips, eggs, vanilla extract, light corn syrup, sugar, margarine or butter","macadamia nut, unsweetened coconut flake, pie crust, semisweet chocolate chip, egg, vanilla extract, light corn syrup, sugar, margarine, butter"
Simply Guacamole,"avocados, lemon juice, green onion, cilantro, salt and pepper","avocado, lemon juice, green onion, cilantro, salt, black pepper"
Crispy Roasted Chicken,"kosher salt, caraway seeds, sage, fennel seeds, coriander seeds, rosemary, paprika, garlic powder, all-purpose flour, onion powder, vegetable oil, chicken","kosher salt, caraway seed, sage, fennel seed, coriander seed, rosemary, paprika, garlic powder, all purpose flour, onion powder, vegetable oil, chicken"
Capirotada (Mexican Bread Pudding),"white sugar, water, cinnamon sticks, white bread, butter, raisins, pineapple chunks, Colby longhorn cheese, walnuts","sugar, water, cinnamon stick, bread, butter, raisin, pineapple chunk, colby longhorn cheese, walnut"
Poffertjes (Dutch Mini Pancakes),"self-rising flour, salt, milk, eggs, maple syrup","self rising flour, salt, milk, egg, maple syrup"
Chilled Russian Salad Dressing,"mayonnaise, onion, horseradish, Worcestershire sauce, parsley, chili sauce, ketchup","mayonnaise, onion, horseradish, worcestershire sauce, parsley, chili sauce, ketchup"
Chokladbiskvier (Swedish Chocolate Meringue Cookies),"egg whites, white sugar, almonds, bread crumbs, confectioners' sugar, unsweetened cocoa powder, unsalted butter, vanilla extract, salt, semisweet chocolate, butter","egg white, white sugar, almond, bread crumb, confectioners sugar, unsweetened cocoa powder, unsalted butter, vanilla extract, salt, semisweet chocolate, butter"
Sausage and Pepper Penne,"penne pasta, coconut oil, smoked sausage, onion, green bell pepper, red bell pepper, orange bell pepper, mushrooms, tomatoes, tomato sauce, garlic, garlic powder, oregano, basil, salt, black pepper, red pepper flakes","penne pasta, coconut oil, smoked sausage, onion, green bell pepper, red bell pepper, orange bell pepper, mushroom, tomato, tomato sauce, garlic, garlic powder, oregano, basil, salt, black pepper, red pepper flake"
Chicken Jalfrezi,"vegetable oil, onion, garlic, chicken thighs, turmeric, chili powder, salt, tomatoes, ghee, cumin, coriander, ginger root, cilantro","vegetable oil, onion, garlic, chicken thigh, turmeric, chili powder, salt, tomato, ghee, cumin, coriander, ginger root, cilantro"
Philippine Longanisa de Eugenio (Sweet Sausage),"sugar, salt, oregano, pepper, curing salt, ginger, pork, pork back fat, garlic, distilled white vinegar, well","sugar, salt, oregano, pepper, curing salt, ginger, pork, pork back fat, garlic, distilled white vinegar, well"
Apple Cinnamon Oatmeal Muffins,"quick-cooking oats, brown sugar, butter, cinnamon, quick-cooking oats, all-purpose flour, brown sugar, cinnamon, baking powder, baking soda, salt, applesauce, milk, vegetable oil, egg, vanilla extract, apple","quick cooking oat, brown sugar, butter, cinnamon, quick cooking oat, all purpose flour, brown sugar, cinnamon, baking powder, baking soda, salt, applesauce, milk, vegetable oil, egg, vanilla extract, apple"
Peruvian Chicha Morada Drink,"water, dried purple corn, cinnamon sticks, cloves, lemons, brown sugar, pineapple, apple","water, dried purple corn, cinnamon stick, clove, lemon, brown sugar, pineapple, apple"
Swedish Pancakes (Vegan),"soy milk, water, vegan butter, maple syrup, vanilla extract, spelt flour, sugar, salt","soy milk, water, vegan butter, maple syrup, vanilla extract, spelt flour, sugar, salt"
Flan Mexicano (Mexican Flan),"sugar, sweetened condensed milk, milk, eggs, egg yolks, orange juice, orange peel, vanilla extract, cornstarch, heavy cream","sugar, sweetened condensed milk, milk, egg, egg yolk, orange juice, orange peel, vanilla extract, cornstarch, heavy cream"
Lisa&#39;s Jerk Chicken,"orange juice, white vinegar, olive oil, soy sauce, lime, onions, Scotch bonnet chiles, garlic, white sugar, thyme, allspice, black pepper, cinnamon, nutmeg, ginger, chicken breast halves","orange juice, white vinegar, olive oil, soy sauce, lime, onion, scotch bonnet chile, garlic, white sugar, thyme, allspice, black pepper, cinnamon, nutmeg, ginger, chicken breast half"
Sesame-Seared Tuna,"soy sauce, sesame oil, mirin, honey, rice wine vinegar, sesame seeds, tuna steaks, olive oil, wasabi paste","soy sauce, sesame oil, mirin, honey, rice wine vinegar, sesame seed, tuna steak, olive oil, wasabi paste"
Puerto Rican Breakfast Custard,"sugar, cornstarch, salt, cinnamon, milk","sugar, cornstarch, salt, cinnamon, milk"
Sesame Jellyfish Salad,"jellyfish, sesame oil, low-sodium soy sauce, rice vinegar, white sugar, chili oil, ginger, white sesame seeds, cilantro, green onion","jellyfish, sesame oil, low sodium soy sauce, rice vinegar, white sugar, chili oil, ginger, white sesame seed, cilantro, green onion"
Portuguese Cod Fish Casserole,"cod fish, potatoes, onions, olive oil, garlic, parsley, red pepper flakes, paprika, tomato sauce","cod fish, potato, onion, olive oil, garlic, parsley, red pepper flake, paprika, tomato sauce"
Red Currant Pie,"all-purpose flour, baking powder, butter, sugar, eggs, lemon zest, sugar, cornstarch, red currants","all purpose flour, baking powder, butter, sugar, egg, lemon zest, sugar, cornstarch, red currant"
Brazilian Banana Bread,"margarine, white sugar, egg yolks, all-purpose flour, baking powder, milk, egg whites, bananas, white sugar, cinnamon","margarine, white sugar, egg yolk, all purpose flour, baking powder, milk, egg white, banana, white sugar, cinnamon"
Arabic Fattoush Salad,"vegetable oil, pita breads, English cucumber, grape tomatoes, Italian parsley, mint, onion, olive oil, lemon juice, sumac, garlic, sheep's milk feta cheese","vegetable oil, pita bread, english cucumber, grape tomato, italian parsley, mint, onion, olive oil, lemon juice, sumac, garlic, sheep milk feta cheese"
Christmas Brunch Casserole,"bacon, onions, mushrooms, butter, hash brown potatoes, salt, black pepper, garlic salt, eggs, milk, parsley, Cheddar cheese","bacon, onion, mushroom, butter, hash brown potato, salt, black pepper, garlic salt, egg, milk, parsley, cheddar cheese"
Tarte Tatin,"butter, sugar, Granny Smith apples, all-purpose flour, pie crust","butter, sugar, granny smith apple, all purpose flour, pie crust"
Easy Chimichurri,"parsley leaves, cilantro leaves, red wine vinegar, onion, garlic, salt, oregano, hot pepper flakes, black pepper, extra-virgin olive oil","parsley leaf, cilantro leaf, red wine vinegar, onion, garlic, salt, oregano, hot pepper flake, black pepper, extra virgin olive oil"
Vietnamese Lemongrass Meatballs,"ground pork, panko bread crumbs, shallot, lemongrass paste, mint, fish sauce, brown sugar, garlic, ginger root, salt, water, fish sauce, lime juice, white sugar, rice vinegar, Thai chile pepper, garlic clove","ground pork, panko bread crumb, shallot, lemongrass paste, mint, fish sauce, brown sugar, garlic, ginger root, salt, water, fish sauce, lime juice, white sugar, rice vinegar, thai chile pepper, garlic clove"
DIY Finnish Lonkero (a.k.a. Long Drink),"ice cubes, gin, grapefruit juice, lemon juice, lime juice, club soda","ice cube, gin, grapefruit juice, lemon juice, lime juice, club soda"
Sweet and Sour Pork,"pork butt, soy sauce, salt, white sugar, egg white, green onions, vegetable oil, cornstarch, vegetable oil, celery, green bell pepper, onion, white sugar, salt, water, white sugar, apple cider vinegar, ketchup, soy sauce, salt, pineapple chunks, cornstarch","pork butt, soy sauce, salt, white sugar, egg white, green onion, vegetable oil, cornstarch, celery, green bell pepper, onion, water, apple cider vinegar, ketchup, pineapple chunk"
Yummy Korean-Style Glass Noodles (Japchae),"sweet potato vermicelli, water, soy sauce, brown sugar, vegetable oil, sesame seeds","sweet potato vermicelli, water, soy sauce, brown sugar, vegetable oil, sesame seed"
Norwegian Potato Klub,"bacon, all-purpose flour, baking powder, potatoes, salt","bacon, all purpose flour, baking powder, potato, salt"
Slow Cooker Kielbasa and Beer,"kielbasa sausage, sauerkraut, beer","kielbasa sausage, bavarian style sauerkraut, beer"
Polish Sauerkraut and Carrot Salad,"sauerkraut, onion, apple, carrots, canola oil, sugar, caraway seeds","bavarian style sauerkraut, onion, apple, carrot, canola oil, sugar, caraway seed"
Russian Cheese Pancakes (Syrniki),"egg, sugar, quark, all-purpose flour, vanilla sugar, salt, frying","egg, sugar, quark, all purpose flour, vanilla sugar, salt, frying"
Goan Pork Vindaloo,"Kashmiri chile peppers, cinnamon stick, cumin seeds, black peppercorns, turmeric, cloves, white vinegar, salt, pork loin roast, vegetable oil, onions, garlic, ginger root, water, white vinegar, green chile peppers","kashmiri chile pepper, cinnamon stick, cumin seed, black peppercorn, turmeric, clove, white vinegar, salt, pork loin roast, vegetable oil, onion, garlic, ginger root, water, green chile pepper"
Puerto Rican Rice and Beans,"spray, pork roast, garlic, black beans, recaito, green olives, sazon seasoning with achiote, long grain rice, water","cooking spray, pork roast, garlic, black bean, recaito, green olive, sazon seasoning, long grain rice, water"
Polish Gołąbki (Stuffed Cabbage Rolls),"cabbage, margarine, onions, ground beef, chicken with rice soup, rice, eggs, marjoram, golden mushroom soup","cabbage, margarine, onion, ground beef, chicken soup, rice, egg, marjoram, golden mushroom soup"
Baked Swedish Rice Pudding,"milk, long grain rice, salt, egg yolks, sugar, butter, vanilla extract, egg whites, sugar","milk, long grain rice, salt, egg yolk, sugar, butter, vanilla extract, egg white"
Disney&#39;s Ratatouille,"tomato paste, onion, garlic, water, olive oil, eggplant, zucchini, yellow squash, red bell pepper, yellow bell pepper, thyme leaves, mascarpone cheese","tomato paste, onion, garlic, water, olive oil, eggplant, zucchini, yellow squash, red bell pepper, yellow bell pepper, thyme leaf, mascarpone cheese"
Filipino Pork Adobo,"distilled white vinegar, soy sauce, ketchup, garlic, bay leaves, black pepper, lean pork, green beans","distilled white vinegar, soy sauce, ketchup, garlic, bay leaf, black pepper, lean pork, green bean"
Vegan Puerto Rican Empanadas,"water, textured vegetable protein, soy sauce, garlic, sazon seasoning, adobo sauce, oregano, cumin, cayenne pepper, liquid smoke, tomato paste, all-purpose flour, salt, baking powder, baking soda, water, vegetable oil, vegan white cheese, vegetable oil","water, textured vegetable protein, soy sauce, garlic, sazon seasoning, adobo sauce, oregano, cumin, cayenne pepper, liquid smoke, tomato paste, all purpose flour, salt, baking powder, baking soda, vegetable oil, vegan white cheese"
Elk Steak Marinade,"canola oil, onion, lemon juice, Worcestershire sauce, soy sauce, garlic powder, black pepper, elk steak","canola oil, onion, lemon juice, worcestershire sauce, soy sauce, garlic powder, black pepper, elk steak"
Pork Chops Italiano,"olive oil, mushrooms, olive oil, pork loin chops, onion, garlic, Italian tomatoes, basil, oregano, salt, black pepper, water, green bell pepper","olive oil, mushroom, pork loin chop, onion, garlic, italian tomato, basil, oregano, salt, black pepper, water, green bell pepper"
Norwegian Pfeffernerse,"butter, white sugar, baker's ammonia, almonds, all-purpose flour","butter, white sugar, bakers ammonia, almond, all purpose flour"
Indian Fish Curry,"canola oil, Dijon mustard, black pepper, salt, white fish fillets, onion, garlic, ginger root, cashew halves, cayenne pepper, cumin, coriander, sugar, turmeric, tomato, vegetable broth, cilantro","canola oil, dijon mustard, black pepper, salt, white fish fillet, onion, garlic, ginger root, cashew half, cayenne pepper, cumin, coriander, sugar, turmeric, tomato, vegetable broth, cilantro"
Vietnamese Lemongrass Chicken Curry,"vegetable oil, lemon grass, chicken, water, fish sauce, curry powder, cornstarch, cilantro","vegetable oil, lemongrass, chicken, water, fish sauce, curry powder, cornstarch, cilantro"
Thai Chicken Curry in Coconut Milk,"vegetable oil, curry paste, chicken breast meat, onion, red bell pepper, lemon zest, coconut milk, fish sauce, lemon juice, cilantro","vegetable oil, curry paste, chicken breast meat, onion, red bell pepper, lemon zest, coconut milk, fish sauce, lemon juice, cilantro"
Chicken Saag,"vegetable oil, chicken, spinach, water, onions, garlic, ginger root, tomatoes, coriander, salt, cayenne pepper, turmeric, cardamom pods, cloves, water, milk, garam masala, sour cream, butter","vegetable oil, chicken, spinach, water, onion, garlic, ginger root, tomato, coriander, salt, cayenne pepper, turmeric, cardamom pod, clove, milk, garam masala, sour cream, butter"
Finnish Pancakes,"milk, butter, eggs, all-purpose flour, baking powder, vanilla extract, salt","milk, butter, egg, all purpose flour, baking powder, vanilla extract, salt"
Rabo Encendido (Cuban Oxtail Stew),"vino seco, olive oil, salt, beef oxtails, olive oil, potatoes, onion, carrots, garlic, salt, green olives, bay leaves, Miami-style sazon seasoning, sazon seasoning, allspice, tomato sauce, chicken broth","vino seco, olive oil, salt, beef oxtail, potato, onion, carrot, garlic, green olive, bay leaf, miami style sazon seasoning, sazon seasoning, allspice, tomato sauce, chicken broth"
German Currywurst,"tomato sauce, kielbasa, chili sauce, onion salt, sugar, black pepper, paprika, Curry powder","tomato sauce, kielbasa, chili sauce, onion salt, sugar, black pepper, paprika, curry powder"
Rice Cooker Spanish Rice,"tomatoes, white rice, tomato sauce, chicken broth, corn, bacon, onion, red bell pepper, black olives, salsa, chili powder, cumin","tomato, white rice, tomato sauce, chicken broth, corn, bacon, onion, red bell pepper, black olive, salsa, chili powder, cumin"
Old-Time Mincemeat Pie,"round steak, apple cider, Granny Smith apples, currants, raisins, sour cherry preserves, white sugar, candied mixed fruit peel, butter, ginger, cloves, nutmeg, cinnamon, salt, sour cherries, pastry, heavy cream, sugar","round steak, apple cider, granny smith apple, currant, raisin, sour cherry preserve, white sugar, candied mixed fruit peel, butter, ginger, clove, nutmeg, cinnamon, salt, sour cherry, pastry, heavy cream, sugar"
"Strawberry, Ginger, and Mint Sekanjabin","white sugar, water, strawberries, mint, ginger, lemons, white balsamic vinegar","white sugar, water, strawberry, mint, ginger, lemon, white balsamic vinegar"
Turkish Kebabs,"onions, garlic cloves, olive oil, lemon juice, oregano, black pepper, turmeric, curry powder, salt, beef flank steak, sour cream, olive oil, lemon juice, salt, black pepper, dill, garlic, pita bread rounds","onion, garlic clove, olive oil, lemon juice, oregano, black pepper, turmeric, curry powder, salt, beef flank steak, sour cream, dill, garlic, pita bread round"
Vegan Turkish Red Lentil Soup,"olive oil, onions, salt, thyme, garlic, cumin, Turkish bay leaves, vegetable broth, tomatoes, red lentils, tomato paste, oregano, black pepper, water, flat-leaf parsley, lemon","olive oil, onion, salt, thyme, garlic, cumin, turkish bay leaf, vegetable broth, tomato, red lentil, tomato paste, oregano, black pepper, water, flat leaf parsley, lemon"
ANZAC Biscuits with Almonds,"quick cooking oats, all-purpose flour, sugar, almonds, butter, golden syrup, water, baking soda","quick cooking oat, all purpose flour, sugar, almond, butter, golden syrup, water, baking soda"
Cuban-Style Mojo Shrimp,"lime juice, orange juice, grapefruit juice, lemon juice, vinegar, extra-virgin olive oil, garlic, Mexican oregano, red pepper flakes, cumin, salt, shrimp, cilantro","lime juice, orange juice, grapefruit juice, lemon juice, vinegar, extra virgin olive oil, garlic, mexican oregano, red pepper flake, cumin, salt, shrimp, cilantro"
Faworki (Polish Chrusciki),"all-purpose flour, egg yolks, sour cream, sugar, butter, rum, salt, vegetable oil, confectioners' sugar","all purpose flour, egg yolk, sour cream, sugar, butter, rum, salt, vegetable oil, confectioners sugar"
Chicken In Coconut Sauce,"cream of coconut, water, vegetable oil, chicken breast halves, lemon juice, ginger, chili powder, salt and pepper, onions, garlic","cream of coconut, water, vegetable oil, chicken breast half, lemon juice, ginger, chili powder, salt, onion, garlic"
Tut (Persian Marzipan),"almond flour, sugar, cardamom, rose water, sugar, pistachios","almond flour, sugar, cardamom, rose water, pistachio"
Easy Swedish Pancakes,"eggs, milk, all-purpose flour, sugar, salt, butter","egg, milk, all purpose flour, sugar, salt, butter"
Chicken Massaman Curry,"vegetable oil, curry paste, ginger, chicken breast meat, peanut butter, brown sugar, fish sauce, tamarind paste, potatoes, coconut milk, lime juice","vegetable oil, curry paste, ginger, chicken breast meat, peanut butter, brown sugar, fish sauce, tamarind paste, potato, coconut milk, lime juice"
Indian Chapati Bread,"whole wheat flour, all-purpose flour, salt, water, olive oil","whole wheat flour, all purpose flour, salt, water, olive oil"
Karelian Pies (Karjalanpiirakka),"water, white rice, milk, salt, water, salt, rye flour, all-purpose flour, butter","water, white rice, milk, salt, rye flour, all purpose flour, butter"
Sex-in-a-Pan,"all-purpose flour, sugar, margarine, cream cheese, confectioners' sugar, whipped topping, milk, instant chocolate pudding mix, instant vanilla pudding mix, heavy whipping cream, chocolate wafer cookies","all purpose flour, sugar, margarine, cream cheese, confectioners sugar, whipped topping, milk, instant chocolate pudding mix, instant vanilla pudding mix, heavy whipping cream, chocolate wafer cookie"
South African Brown Pudding,"white sugar, eggs, flour, baking powder, baking soda, salt, distilled white vinegar, apricot jam, milk, sugar, water, milk, butter or margarine, vanilla","white sugar, egg, flour, baking powder, baking soda, salt, distilled white vinegar, apricot jam, milk, sugar, water, butter, vanilla"
Apple Walnut Canadian Butter Tarts,"spray, flour, pie crust, apple juice, brown sugar, unsalted butter, egg, whipping cream, vanilla extract, salt, walnuts","all purpose flour, apple juice, brown sugar, unsalted butter, egg, heavy whipping cream, vanilla extract, salt, walnut"
Duck Fesenjan,"duck legs, vegetable oil, water, olive oil, yellow onion, turmeric, cinnamon, nutmeg, chicken broth, pomegranate molasses, honey, walnut halves","duck leg, vegetable oil, water, olive oil, yellow onion, turmeric, cinnamon, nutmeg, chicken broth, pomegranate molasses, honey, walnut half"
Easy Brazilian Black Bean Stew,"bacon, onion, green bell pepper, cilantro, garlic, bay leaf, black beans, chicken broth, vinegar, hot sauce","bacon, onion, green bell pepper, cilantro, garlic, bay leaf, black bean, chicken broth, vinegar, hot sauce"
"Big Ray&#39;s White Bean, Kale, and Kielbasa Soup","kale, olive oil, kielbasa sausage, green onions, chicken broth, white beans, salt, black pepper, Parmesan cheese","kale, olive oil, kielbasa sausage, green onion, chicken broth, white bean, salt, black pepper, parmesan cheese"
Boliche (Cuban Pot Roast),"beef eye of round roast, chorizo sausage, garlic, oregano, paprika, orange juice, lime juice, lemon juice, olive oil, onions, beef broth, sherry, bay leaves, potatoes","beef eye of round roast, chorizo sausage, garlic, oregano, paprika, orange juice, lime juice, lemon juice, olive oil, onion, beef broth, sherry, bay leaf, potato"
Authentic Filipino Pancit,"chicken thighs, rice noodles, soy-based liquid seasoning, olive oil, sesame oil, garlic, onion, cabbage, carrots, garlic salt","chicken thigh, rice noodle, soy based liquid seasoning, olive oil, sesame oil, garlic, onion, cabbage, carrot, garlic salt"
Deep Fried Corn Meal Sticks (Sorullitos de Maiz) with Dipping Sauce,"water, white sugar, butter, salt, cornmeal, vegetable oil, vegetable oil, mayonnaise, ketchup, garlic salt","water, white sugar, butter, salt, cornmeal, vegetable oil, mayonnaise, ketchup, garlic salt"
Sausage Rolls,"pork, onion, garlic, sage, bread crumbs, kosher salt, black pepper, coriander, thyme, cayenne pepper, nutmeg, egg, water, puff pastry, Sesame seeds","pork, onion, garlic, sage, bread crumb, kosher salt, black pepper, coriander, thyme, cayenne pepper, nutmeg, egg, water, puff pastry, sesame seed"
Spicy Tuna Rolls,"nori, sashimi-grade tuna, mayonnaise, green onions, chile sauce, sushi rice, sesame seeds","nori, sashimi grade tuna, mayonnaise, green onion, chile sauce, sushi rice, sesame seed"
Kalimotxo (Calimocho),"ice cubes, red wine, cola, lemon slice","ice cube, red wine, cola, lemon slice"
Yummy Matzo Rolls,"water, salt, vegetable oil, margarine, matzo cake meal, egg","water, salt, vegetable oil, margarine, matzo cake meal, egg"
Chinese Pepper Steak,"beef top sirloin steak, soy sauce, white sugar, cornstarch, ginger, vegetable oil, red onion, green bell pepper, tomatoes","beef top sirloin steak, soy sauce, white sugar, cornstarch, ginger, vegetable oil, red onion, green bell pepper, tomato"
Chicken Tinola,"cooking oil, onion, garlic, ginger, fish sauce, chicken legs and thighs, chicken broth, chayote squash, bok choy, spinach","cooking oil, onion, garlic, ginger, fish sauce, chicken leg, chicken thigh, chicken broth, chayote squash, bok choy, spinach"
Quesitos (Puerto Rican Cheese-Stuffed Puff Pastry),"cream cheese, sugar, puff pastry, corn syrup","cream cheese, sugar, puff pastry, corn syrup"
3-Ingredient Lemon Scones,"spray, self-rising flour, lemon-flavored soda, heavy cream","all purpose flour, lemon flavored soda, heavy cream"
Greek Butter Cookies,"butter, sugar, egg, vanilla extract, almond extract, all-purpose flour, confectioners' sugar","butter, sugar, egg, vanilla extract, almond extract, all purpose flour, confectioners sugar"
Portuguese Pork Alentejana,"white wine, paprika, salt, black pepper, garlic, bay leaf, pork loin, olive oil, onions, garlic, tomatoes, red pepper flakes, clams, parsley","white wine, paprika, salt, black pepper, garlic, bay leaf, pork loin, olive oil, onion, tomato, red pepper flake, clam, parsley"
Classic Chicken Pad Thai,"rice noodles, brown sugar, soy sauce, fish sauce, tamarind paste, vegetable oil, chicken breast, tofu, garlic, shrimp paste, eggs, spring onions, peanuts, bean sprouts, lime","rice noodle, brown sugar, soy sauce, fish sauce, tamarind paste, vegetable oil, chicken breast, tofu, garlic, shrimp paste, egg, green onion, peanut, bean sprout, lime"
Vietnamese Lemongrass Beef and Noodles,"rice vermicelli noodles, lemongrass, soy-based liquid seasoning, sherry, brown sugar, garlic, flank steak, water, sugar, lemon, fish sauce, Thai chile peppers, garlic, Thai basil leaves, cilantro, bean sprouts","rice vermicelli noodle, lemongrass, soy based liquid seasoning, sherry, brown sugar, garlic, flank steak, water, sugar, lemon, fish sauce, thai chile pepper, thai basil leaf, cilantro, bean sprout"
Butter Tarts,"tart shells, brown sugar, butter, eggs, raisins, walnuts, heavy cream","tart shell, brown sugar, butter, egg, raisin, walnut, heavy cream"
Lebanese Easter Cookies,"butter, white sugar, water, semolina flour, all-purpose flour, black sesame seeds, quick rise yeast, cinnamon, mahleb, nutmeg, cloves, cardamom, allspice, spray, rose water, orange flower water, water","butter, sugar, water, semolina flour, all purpose flour, black sesame seed, yeast, cinnamon, mahleb, nutmeg, clove, cardamom, allspice, cooking spray, rose water, orange flower water"
Apfelkuchen (Apple Cake),"all-purpose flour, milk, sugar, active dry yeast, butter, vanilla extract, salt, apples, sugar, all-purpose flour, candied lemon peel, cinnamon, nutmeg, salt, butter","all purpose flour, milk, sugar, active dry yeast, butter, vanilla extract, salt, apple, candied lemon peel, cinnamon, nutmeg"
Shakshuka (Middle Eastern Breakfast Dish),"vegetable oil, garlic, onion, zucchini, tomatoes, hot pepper sauce, eggs, salt","vegetable oil, garlic, onion, zucchini, tomato, hot sauce, egg, salt"
Thai Red Chicken Curry,"olive oil, chicken breast, Thai red curry paste, zucchini, red bell pepper, carrots, onion, cornstarch, coconut milk, cilantro","olive oil, chicken breast, thai red curry paste, zucchini, red bell pepper, carrot, onion, cornstarch, coconut milk, cilantro"
Machhere Jhol (Bengali Fish Curry),"tomatoes, cumin, turmeric, salt, water, vegetable oil, whitefish fillets, mustard seeds, cumin seeds, black cumin seeds, fennel seeds, fenugreek seeds","tomato, cumin, turmeric, salt, water, vegetable oil, whitefish fillet, mustard seed, cumin seed, black cumin seed, fennel seed, fenugreek seed"
Simple Slow-Cooked Korean Beef Soft Tacos,"beef chuck roast, onion, dark brown sugar, soy sauce, garlic, jalapeno pepper, ginger root, seasoned rice vinegar, sesame oil, salt and ground black pepper, corn tortillas","beef chuck roast, onion, dark brown sugar, soy sauce, garlic, jalapeno pepper, ginger root, seasoned rice vinegar, sesame oil, black pepper, corn tortilla"
Lamb (Gosht) Biryani,"basmati rice, cooking oil, cloves, black cardamom pods, cinnamon sticks, onions, garlic paste, ginger paste, cilantro leaves, mint leaves, lamb chops, salt, tomatoes, green chile peppers, red pepper, yogurt, lemon juice, water, salt, vegetable oil, onion, saffron, milk","basmati rice, cooking oil, clove, black cardamom pod, cinnamon stick, onion, garlic paste, ginger paste, cilantro leaf, mint leaf, lamb chop, salt, tomato, green chile pepper, red pepper, yogurt, lemon juice, water, vegetable oil, saffron, milk"
Sweet and Sour Red Cabbage,"red cabbage, water, salt, brown sugar, caraway seeds, vinegar, butter","red cabbage, water, salt, brown sugar, caraway seed, vinegar, butter"
Skillet Chicken Bulgogi,"onion, soy sauce, brown sugar, garlic, sesame oil, sesame seeds, cayenne, salt and ground black pepper, chicken breasts","onion, soy sauce, brown sugar, garlic, sesame oil, sesame seed, cayenne, black pepper, chicken breast"
Vietnamese Lemongrass Chicken,"canola oil, lemongrass, lemon juice, soy sauce, light brown sugar, garlic, fish sauce, chicken thighs","canola oil, lemongrass, lemon juice, soy sauce, light brown sugar, garlic, fish sauce, chicken thigh"
Chef John&#39;s Pavlova with Strawberries,"sugar, cornstarch, egg whites, vanilla extract, white vinegar, heavy cream, confectioners' sugar, strawberries","sugar, cornstarch, egg white, vanilla extract, white vinegar, heavy cream, confectioners sugar, strawberry"
Spanakopita (Greek Spinach Pie),"olive oil, onion, green onions, garlic, spinach, parsley, feta cheese, ricotta cheese, eggs, phyllo dough, olive oil","olive oil, onion, green onion, garlic, spinach, parsley, feta cheese, ricotta cheese, egg, phyllo dough"
Quiche Lorraine,"bacon, Swiss cheese, onion, pie crust, light cream, eggs, salt, white sugar, cayenne pepper","bacon, swiss cheese, onion, pie crust, light cream, egg, salt, white sugar, cayenne pepper"
Russian Cabbage Rolls with Gravy,"cabbage, water, white rice, vegetable oil, onions, beef, pork, carrots, tomato paste, sour cream, mixed herbs","cabbage, water, white rice, vegetable oil, onion, beef, pork, carrot, tomato paste, sour cream, mixed herb"
Newfoundland Jigg&#39;s Dinner,"corned beef brisket, yellow split peas, cabbage, turnip, carrots, potatoes, butter, black pepper, all-purpose flour, white sugar, baking powder, water","corned beef brisket, yellow split pea, cabbage, turnip, carrot, potato, butter, black pepper, all purpose flour, white sugar, baking powder, water"
Eclairs,"water, butter, all-purpose flour, salt, eggs, milk, instant vanilla pudding mix, heavy cream, confectioners' sugar, vanilla extract, semisweet chocolate, butter, confectioners' sugar, vanilla extract, water","water, butter, all purpose flour, salt, egg, milk, instant vanilla pudding mix, heavy cream, confectioners sugar, vanilla extract, semisweet chocolate"
"Slow Cooker Pork, Sauerkraut, and Beer","spray, pork loin roast, salt and ground black pepper, sauerkraut, light beer, brown sugar, onion, butter","cooking spray, pork loin roast, black pepper, bavarian style sauerkraut, beer, brown sugar, onion, butter"
Malasadas Dois,"Sugar, water, active dry yeast, eggs, salt, all-purpose flour, sugar, milk, butter or margarine, vegetable oil, white sugar","sugar, water, active dry yeast, egg, salt, all purpose flour, milk, butter, vegetable oil, white sugar"
Puerto Rican Sancocho,"olive oil, onion, green onions, garlic, cilantro, white pepper, oregano, salt, beef stew meat, water, tomato sauce, beef bouillon, green beans, carrots, celery, chayote squash, small white beans, cabbage, green banana, yellow plantain, llautias, potatoes, pumpkin, corn, green bell pepper","olive oil, onion, green onion, garlic, cilantro, white pepper, oregano, salt, beef stew meat, water, tomato sauce, beef bouillon, green bean, carrot, celery, chayote squash, small white bean, cabbage, green banana, yellow plantain, llautias, potato, pumpkin, corn, green bell pepper"
